session,signal_time,entry_time,direction,entry,stop,target,risk_points,spread_points,orb_high,orb_low,exit_time,exit_price,exit_reason,outcome_r,cashflow,balance
2019-07-18T00:00:00-04:00,2019-07-18T14:20:00-04:00,2019-07-18T14:25:00-04:00,1,7892.25,7848.57,7935.93,43.68000000000029,2.16,7885.0,7848.57,2019-07-18T15:00:00-04:00,7905.21,15:00 close,0.2964743589743578,29.64743589743578,10029.647435897436
2019-07-22T00:00:00-04:00,2019-07-22T13:55:00-04:00,2019-07-22T14:00:00-04:00,1,7904.5,7860.82,7948.18,43.68000000000029,2.0100000000000002,7901.43,7860.82,2019-07-22T15:00:00-04:00,7905.18,15:00 close,0.015338827838834399,1.5384303530343764,10031.18586625047
2019-07-24T00:00:00-04:00,2019-07-24T10:30:00-04:00,2019-07-24T10:35:00-04:00,1,7973.7300000000005,7925.23,8022.230000000001,48.50000000000091,2.18,7965.92,7925.23,2019-07-24T15:00:00-04:00,7995.66,15:00 close,0.45195876288657666,45.33682354395875,10076.522689794429
2019-07-26T00:00:00-04:00,2019-07-26T13:20:00-04:00,2019-07-26T13:25:00-04:00,1,8023.14,7981.66,8064.620000000001,41.48000000000047,2.08,8020.09,7981.66,2019-07-26T15:00:00-04:00,8022.86,15:00 close,-0.0069913211186270864,-0.704482058834848,10075.818207735594
2019-07-30T00:00:00-04:00,2019-07-30T10:00:00-04:00,2019-07-30T10:05:00-04:00,1,7963.84,7922.47,8005.21,41.36999999999989,2.18,7958.48,7922.47,2019-07-30T15:00:00-04:00,7965.66,15:00 close,0.04375151075657998,4.408322686970883,10080.226530422566
2019-07-31T00:00:00-04:00,2019-07-31T10:05:00-04:00,2019-07-31T10:10:00-04:00,1,7979.8099999999995,7956.61,8003.009999999999,23.199999999999818,2.15,7976.66,7956.61,2019-07-31T10:30:00-04:00,7956.61,stop,-1.0004310344827587,-100.84571455651196,9979.380815866054
2019-08-01T00:00:00-04:00,2019-08-01T10:05:00-04:00,2019-08-01T10:10:00-04:00,1,7938.45,7857.18,8019.719999999999,81.26999999999953,2.21,7923.51,7857.18,2019-08-01T13:40:00-04:00,7857.18,stop,-1.0001230466346747,-99.80608745091583,9879.574728415138
2019-08-06T00:00:00-04:00,2019-08-06T14:15:00-04:00,2019-08-06T14:20:00-04:00,1,7527.4400000000005,7479.3,7575.580000000001,48.14000000000033,2.42,7519.97,7479.3,2019-08-06T15:00:00-04:00,7513.44,15:00 close,-0.2910261736601748,-28.752148306004184,9850.822580109134
2019-08-07T00:00:00-04:00,2019-08-07T10:10:00-04:00,2019-08-07T10:15:00-04:00,1,7461.650000000001,7380.81,7542.490000000001,80.84000000000015,2.43,7455.0,7380.81,2019-08-07T13:50:00-04:00,7542.490000000001,target,0.9998762988619495,98.49604022145242,9949.318620330587
2019-08-08T00:00:00-04:00,2019-08-08T10:05:00-04:00,2019-08-08T10:10:00-04:00,1,7622.37,7570.58,7674.16,51.789999999999964,2.17,7617.83,7570.58,2019-08-08T11:40:00-04:00,7674.16,target,0.9998069125313768,99.47397531583661,10048.792595646424
