date,direction,signal_time,entry_time,entry,stop,target,risk_points,poc,vah,val,relative_volume,exit_time,exit_reason,net_r
2020-01-24T00:00:00-05:00,-1,2020-01-24T10:15:00-05:00,2020-01-24T11:30:00-05:00,9217.47,9297.97,9096.72,80.5,9253.734609375,9266.5375,9246.5525,1.0051612903225806,2020-01-24T15:59:00-05:00,session_close,0.9232298136645927
2020-01-27T00:00:00-05:00,-1,2020-01-27T10:00:00-05:00,2020-01-27T10:45:00-05:00,8958.47,9041.665,8833.677499999998,83.19500000000153,9023.108984375,9036.66640625,8975.20609375,1.086873811033608,2020-01-27T15:59:00-05:00,session_close,0.05324839233125057
2020-01-28T00:00:00-05:00,1,2020-01-28T10:00:00-05:00,2020-01-28T10:30:00-05:00,9042.8,8956.909999999998,9171.635000000002,85.89000000000124,8978.36796875,9019.5715625,8968.2359375,1.0228136882129277,2020-01-28T15:59:00-05:00,session_close,0.5281173594132021
2020-02-04T00:00:00-05:00,1,2020-02-04T09:45:00-05:00,2020-02-04T10:30:00-05:00,9274.25,9184.73,9408.53,89.52000000000044,9217.722421875002,9257.79,9147.97515625,1.060738885410144,2020-02-04T15:59:00-05:00,session_close,0.6491286863270811
2020-02-06T00:00:00-05:00,-1,2020-02-06T09:30:00-05:00,2020-02-06T10:30:00-05:00,9388.29,9486.735,9240.622500000001,98.44499999999971,9425.913515625001,9448.983437500001,9404.161875,1.237327188940092,2020-02-06T15:59:00-05:00,session_close,-0.5850982782264078
2020-02-10T00:00:00-05:00,1,2020-02-10T09:30:00-05:00,2020-02-10T10:00:00-05:00,9438.75,9349.39,9572.79,89.36000000000058,9412.049921875001,9416.27375,9387.55171875,0.9893676552881925,2020-02-10T15:59:00-05:00,session_close,0.8318039391226437
2020-02-14T00:00:00-05:00,-1,2020-02-14T09:30:00-05:00,2020-02-14T10:00:00-05:00,9601.22,9707.970000000001,9441.094999999998,106.75000000000182,9628.113984375,9642.87375,9620.51046875,0.9906129210381005,2020-02-14T15:59:00-05:00,session_close,-0.20833723653395225
2020-02-25T00:00:00-05:00,-1,2020-02-25T09:30:00-05:00,2020-02-25T10:15:00-05:00,9108.24,9238.89,8912.265,130.64999999999964,9189.52296875,9206.668749999999,9130.1721875,1.3225469728601253,2020-02-25T13:58:00-05:00,target,1.4846919249904393
2020-02-26T00:00:00-05:00,1,2020-02-26T09:30:00-05:00,2020-02-26T10:15:00-05:00,8966.07,8835.419999999998,9162.045000000002,130.65000000000146,8894.488671875,8929.72328125,8855.54515625,1.4121938509640437,2020-02-26T13:37:00-05:00,stop,-1.0153080750095673
2020-02-28T00:00:00-05:00,-1,2020-02-28T09:45:00-05:00,2020-02-28T10:15:00-05:00,8176.3,8318.2,7963.449999999999,141.90000000000055,8284.2409375,8356.188125,8187.484375,2.179334916864608,2020-02-28T11:29:00-05:00,stop,-1.0140944326990837
2020-03-13T00:00:00-04:00,1,2020-03-13T10:00:00-04:00,2020-03-13T11:15:00-04:00,7513.34,7170.67,8027.345,342.6700000000001,7147.95640625,7429.2456250000005,6940.97,1.095659875996457,2020-03-13T15:59:00-04:00,session_close,1.239414013482359
2020-03-24T00:00:00-04:00,1,2020-03-24T10:00:00-04:00,2020-03-24T11:15:00-04:00,7402.39,7022.395,7972.3825,379.9949999999999,7283.915390625,7332.029062500001,7152.4046875,1.1938223938223937,2020-03-24T15:59:00-04:00,session_close,0.35508361952130796
2020-03-27T00:00:00-04:00,-1,2020-03-27T09:30:00-04:00,2020-03-27T10:30:00-04:00,7614.97,8036.97,6981.97,422.0,7728.757421875,7782.03671875,7649.9040625,0.996319018404908,2020-03-27T15:59:00-04:00,session_close,0.08478672985782146
2020-03-30T00:00:00-04:00,1,2020-03-30T09:45:00-04:00,2020-03-30T10:15:00-04:00,7741.33,7319.33,8374.33,422.0,7605.07609375,7676.608749999999,7511.866875,0.9063591893780573,2020-03-30T15:59:00-04:00,session_close,0.3032701421800959
2020-04-06T00:00:00-04:00,1,2020-04-06T09:45:00-04:00,2020-04-06T10:30:00-04:00,7855.47,7466.710000000001,8438.609999999999,388.7599999999993,7803.76484375,7839.9721875,7776.076875,0.6994652406417112,2020-04-06T15:59:00-04:00,session_close,0.5088229241691528
