case,group,stage,report,from,to,model,minimum_reward_risk,stop_buffer_atr,maximum_holding_bars,maximum_trades_per_day,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,allow_long,allow_short,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-current-dynamic5020.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
current-native,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-current-native.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,false,0.50,0.20,0,false,true,true,1.00,10000.0,13227.8,3227.8,32.28,1.28,30.14,10.97,146,3.17,2.5,98%,1.21,3.13
rr-050,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-050.htm,2023.09.01,2025.08.31,1,0.50,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11470.15,1470.15,14.7,1.1,40.0,15.76,220,1.42,0.7,98%,0.59,0.81
rr-075,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-075.htm,2023.09.01,2025.08.31,1,0.75,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11545.83,1545.83,15.46,1.11,39.91,16.01,218,1.5,0.71,98%,0.62,0.82
rr-100,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11513.11,1513.11,15.13,1.11,39.05,15.93,210,1.5,0.7,98%,0.6,0.8
rr-125,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-125.htm,2023.09.01,2025.08.31,1,1.25,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11442.6,1442.6,14.43,1.11,37.95,14.46,195,1.48,0.75,98%,0.58,0.87
rr-150,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-150.htm,2023.09.01,2025.08.31,1,1.50,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11171.52,1171.52,11.72,1.09,36.02,12.62,186,1.25,0.73,98%,0.48,0.87
rr-200,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-200.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
rr-250,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-250.htm,2023.09.01,2025.08.31,1,2.50,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,14736.43,4736.43,47.36,1.49,38.89,8.99,126,5.45,4.08,98%,1.79,4.26
rr-300,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-300.htm,2023.09.01,2025.08.31,1,3.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,12719.45,2719.45,27.19,1.34,34.31,11.97,102,4.22,1.78,98%,1.18,1.89
rr-400,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-400.htm,2023.09.01,2025.08.31,1,4.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11572.33,1572.33,15.72,1.29,29.41,10.29,68,3.8,1.28,98%,0.83,1.38
rr-500,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-rr-500.htm,2023.09.01,2025.08.31,1,5.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,10808.63,808.63,8.09,1.22,28.26,11.37,46,2.93,0.58,98%,0.52,0.65
stop-buffer-000,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-000.htm,2023.09.01,2025.08.31,1,2.00,0.00,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,14528.5,4528.5,45.28,1.38,36.67,10.04,150,4.56,3.2,98%,1.56,3.54
