month,ea,symbol,category,signals,accepted,rejected,wins,losses,win_rate_pct,profit_factor,gross_profit,commission,swap,net_profit,return_pct,stress_profit,stressed_return_pct,exec_net_profit,swing_exec_return_pct,exec_stress_profit,swing_exec_stressed_return_pct
2023-09,News XAU,XAUUSD,news,1,1,0,0,1,0.0,0.0,-369.4,-7.2,0.0,-376.6,-0.377,-583.25,-0.583,-376.6,-0.377,-583.25,-0.583
2023-10,News XAU,XAUUSD,news,1,1,0,0,1,0.0,0.0,-187.1,-7.23,0.0,-194.33,-0.194,-355.41,-0.355,-194.33,-0.194,-355.41,-0.355
2023-11,News XAU,XAUUSD,news,3,3,0,2,1,66.67,1.23,203.0,-21.72,0.0,181.27,0.181,-700.87,-0.701,181.27,0.181,-700.87,-0.701
2023-12,News XAU,XAUUSD,news,3,3,0,2,1,66.67,3.78,740.83,-21.64,0.0,719.19,0.719,-25.39,-0.025,719.19,0.719,-25.39,-0.025
2024-01,News XAU,XAUUSD,news,4,4,0,2,2,50.0,1.08,106.24,-28.65,0.0,77.59,0.078,-989.48,-0.989,77.59,0.078,-989.48,-0.989
2024-02,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,644.23,-14.3,0.0,629.93,0.63,184.45,0.184,629.93,0.63,184.45,0.184
2024-03,News XAU,XAUUSD,news,4,4,0,1,3,25.0,0.05,-1265.56,-28.7,0.0,-1294.26,-1.294,-2106.92,-2.107,-1294.26,-1.294,-2106.92,-2.107
2024-04,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,1624.04,-14.39,0.0,1609.64,1.61,821.27,0.821,1609.64,1.61,821.27,0.821
2024-05,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,2924.94,-14.06,0.0,2910.88,2.911,1667.07,1.667,2910.88,2.911,1667.07,1.667
2024-06,News XAU,XAUUSD,news,3,3,0,2,1,66.67,5.23,1494.91,-21.9,0.0,1473.01,1.473,411.26,0.411,1473.01,1.473,411.26,0.411
2024-07,News XAU,XAUUSD,news,2,2,0,1,1,50.0,17.1,1278.4,-14.56,0.0,1263.84,1.264,549.39,0.549,1263.84,1.264,549.39,0.549
2024-08,News XAU,XAUUSD,news,2,2,0,1,1,50.0,1.79,638.01,-14.27,0.0,623.74,0.624,-292.87,-0.293,623.74,0.624,-292.87,-0.293
2024-09,News XAU,XAUUSD,news,4,4,0,2,2,50.0,0.77,-233.48,-28.76,0.0,-262.23,-0.262,-1294.01,-1.294,-262.23,-0.262,-1294.01,-1.294
2024-10,News XAU,XAUUSD,news,3,3,0,1,2,33.33,1.29,292.1,-21.37,0.0,270.73,0.271,-716.29,-0.716,270.73,0.271,-716.29,-0.716
2024-11,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,384.84,-14.28,0.0,370.56,0.371,15.86,0.016,370.56,0.371,15.86,0.016
2024-12,News XAU,XAUUSD,news,2,2,0,0,2,0.0,0.0,-766.33,-14.27,0.0,-780.6,-0.781,-1200.75,-1.201,-780.6,-0.781,-1200.75,-1.201
2025-01,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,530.2,-14.33,0.0,515.87,0.516,110.31,0.11,515.87,0.516,110.31,0.11
2025-02,News XAU,XAUUSD,news,2,2,0,1,1,50.0,0.95,-22.16,-14.32,0.0,-36.49,-0.036,-721.73,-0.722,-36.49,-0.036,-721.73,-0.722
2025-03,News XAU,XAUUSD,news,3,3,0,1,2,33.33,0.48,-100.54,-21.41,0.0,-121.94,-0.122,-557.5,-0.558,-121.94,-0.122,-557.5,-0.558
2025-04,News XAU,XAUUSD,news,2,2,0,0,2,0.0,0.0,-991.64,-14.35,0.0,-1005.99,-1.006,-1482.49,-1.482,-1005.99,-1.006,-1482.49,-1.482
