event,type,status,side,r,best_r,risk_usd_0_10,pnl_usd_0_10,balance_before,balance_after,drawdown_from_peak
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,500.0,500.0,0.0
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,500.0,500.0,0.0
Aug 01 2025 NFP / Jobs,NFP,timeout,buy,2.004437140509432,2.581210627225396,182.55,365.91,500.0,865.9100000000001,0.0
Aug 12 2025 CPI,CPI,timeout,buy,-0.6956179893070659,0.5546703008701066,190.78,-132.71,865.9100000000001,733.2,132.71000000000004
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,733.2,733.2,132.71000000000004
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,733.2,733.2,132.71000000000004
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.1956342243781444,1.9397770667767384,193.78,231.69,733.2,964.8900000000001,0.0
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,964.8900000000001,964.8900000000001,0.0
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,181.83,-181.83,964.8900000000001,783.0600000000001,181.83000000000004
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,783.0600000000001,783.0600000000001,181.83000000000004
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,783.0600000000001,783.0600000000001,181.83000000000004
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,783.0600000000001,783.0600000000001,181.83000000000004
Nov 19 2025 FOMC Minutes,FOMC,timeout,sell,0.319654540696151,0.6203088196807172,191.05,61.07,783.0600000000001,844.1300000000001,120.75999999999999
