event,type,status,side,r,best_r,risk_usd,pnl,balance,dd
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,500.0,0.0
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,500.0,0.0
Aug 01 2025 NFP / Jobs,NFP,timeout,buy,0.8393419373138507,1.137994610693512,352.55,295.91,795.9100000000001,0.0
Aug 12 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,795.9100000000001,0.0
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,795.9100000000001,0.0
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,795.9100000000001,0.0
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,0.44447193358622794,0.8408653581835123,363.78,161.69,957.6000000000001,0.0
Sep 11 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Sep 17 2025 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Oct 29 2025 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Nov 19 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Nov 26 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,957.6000000000001,0.0
Dec 10 2025 FOMC Statement,FOMC,timeout,buy,0.5952387789679354,0.8596330011774088,348.23,207.28,1164.88,0.0
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,1164.88,0.0
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,1164.88,0.0
Jan 09 2026 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,1164.88,0.0
Jan 13 2026 CPI,CPI,no_trigger,,0.0,,0.0,0.0,1164.88,0.0
Jan 28 2026 FOMC Statement,FOMC,timeout,buy,2.5858612713690015,2.655092654135582,376.13,972.62,2137.5,0.0
Jan 30 2026 PCE / PPI,PCE,filtered,,0.0,,0.0,0.0,2137.5,0.0
Feb 11 2026 NFP / Jobs,NFP,timeout,sell,0.5597026403486212,1.3325301204819195,390.1,218.34,2355.84,0.0
Feb 13 2026 CPI,CPI,timeout,buy,0.8023092875960086,0.8535115744633178,356.82,286.28,2642.12,0.0
Feb 18 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,2642.12,0.0
Feb 27 2026 PPI / PCE,PCE,no_trigger,,0.0,,0.0,0.0,2642.12,0.0
Mar 11 2026 CPI,CPI,no_trigger,,0.0,,0.0,0.0,2642.12,0.0
Mar 18 2026 PPI / FOMC,FOMC,no_trigger,,0.0,,0.0,0.0,2642.12,0.0
Apr 10 2026 CPI,CPI,timeout,buy,0.49796007776349877,0.5110484378850745,365.21,181.86,2823.98,0.0
Apr 29 2026 FOMC Statement,FOMC,no_trigger,,0.0,,0.0,0.0,2823.98,0.0
May 08 2026 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,2823.98,0.0
May 12 2026 CPI,CPI,no_trigger,,0.0,,0.0,0.0,2823.98,0.0
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,2823.98,0.0
May 29 2026 PCE,PCE,no_trigger,,0.0,,0.0,0.0,2823.98,0.0
Jun 05 2026 NFP / Jobs,NFP,timeout,sell,2.389581502636199,2.6344463971880288,364.16,870.19,3694.17,0.0
Jun 10 2026 CPI,CPI,timeout,buy,0.24531394038717622,0.8796988630544031,390.52,95.8,3789.9700000000003,0.0
Jun 17 2026 FOMC Statement,FOMC,timeout,sell,3.416141342756197,4.131618374558302,353.75,1208.46,4998.43,0.0
Jun 25 2026 PCE,PCE,timeout,buy,0.6700126742712195,0.9194423320658982,394.5,264.32,5262.75,0.0
Jul 02 2026 NFP / Jobs,NFP,timeout,buy,1.079448456992777,1.768521558327856,365.52,394.56,5657.31,0.0
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,5657.31,0.0
Jul 14 2026 CPI,CPI,timeout,buy,0.8635742774408537,1.6191334753865259,366.06,316.12,5973.43,0.0
