case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-safe-dynamic-native,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-deployed-safe-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9848.14,-151.86,-1.52,0.96,50.54,8.95,93,-0.27,-0.16,98%,-0.16,-0.17
standard-dynamic-native,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-standard-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
standard-native-only,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-standard-native-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
standard-dynamic-only,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-standard-dynamic-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
standard-no-management,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-standard-no-management.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
rr-050,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8743.89,-1256.11,-12.56,0.88,71.63,14.91,423,-1.21,-0.84,98%,-1.13,-0.85
rr-075,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10037.46,37.46,0.37,1.0,66.23,10.36,382,0.03,0.03,98%,0.03,0.04
rr-100,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9021.67,-978.33,-9.78,0.92,61.03,14.02,349,-0.68,-0.69,98%,-0.72,-0.71
rr-150,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7225.72,-2774.28,-27.74,0.74,48.49,30.46,299,-2.0,-0.91,98%,-2.33,-0.93
rr-170,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
rr-200,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7334.86,-2665.14,-26.65,0.76,41.63,28.77,257,-1.71,-0.92,98%,-2.02,-0.95
rr-250,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6632.89,-3367.11,-33.67,0.66,34.68,36.23,222,-2.18,-0.91,98%,-2.73,-0.94
