policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,opened_at_dt,closed_at_dt,day,tf_rank,rank_score,source,balance_before,risk_amount,pnl,balance_after
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-20 00:15:00,2026-01-20 01:15:00,SELL,212.143,212.35047,6.0,212.143,trail_stop,0.5,91.0,0.103143,0.5417,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-01-20 00:15:00+00:00,2026-01-20 01:15:00+00:00,2026-01-20,3.0,"(91.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,300.0,15.0,7.5,307.5
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-20 00:15:00,2026-01-20 00:30:00,SELL,0.67087,0.67105,6.0,0.67087,trail_stop,0.5,100.0,0.000196,0.2083,0.9197,structure,static,ORB 15m breakout,2026-01-20 00:15:00+00:00,2026-01-20 00:30:00+00:00,2026-01-20,3.0,"(100.0, 6.0, 3.0, -0.08030000000000004)",dynamic_exit_fixed_current,307.5,15.38,7.69,315.19
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-20 00:15:00,2026-01-20 01:00:00,SELL,1.34145,1.34199,3.0,1.34199,loss,-1.0,100.0,0.00054,0.1771,1.7221,structure,static,ORB 15m breakout,2026-01-20 00:15:00+00:00,2026-01-20 01:00:00+00:00,2026-01-20,3.0,"(100.0, 3.0, 3.0, -0.7221)",dynamic_exit_fixed_current,315.19,15.76,-15.76,299.43
fixed_current,ORB,USDCAD,M15,2026-01,2026-01-20 00:15:00,2026-01-20 00:45:00,BUY,1.38749,1.38729,6.0,1.38749,trail_stop,0.5,100.0,0.000281,0.25,0.7107,structure,static,ORB 15m breakout,2026-01-20 00:15:00+00:00,2026-01-20 00:45:00+00:00,2026-01-20,3.0,"(100.0, 6.0, 3.0, -0.2893)",dynamic_exit_fixed_current,299.43,14.97,7.49,306.91
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 02:15:00,BUY,0.67322,0.6729,6.0,0.67386,trail_stop,1.5,91.0,0.000239,0.0104,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-21 00:15:00+00:00,2026-01-21 02:15:00+00:00,2026-01-21,3.0,"(91.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,306.91,15.35,23.02,329.93
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 02:15:00,BUY,0.67324,0.67294,6.0,0.67384,trail_stop,1.5,100.0,0.0003,0.0104,1.2537,structure,static,ORB 15m breakout,2026-01-21 00:15:00+00:00,2026-01-21 02:15:00+00:00,2026-01-21,3.0,"(100.0, 6.0, 3.0, -0.25370000000000004)",dynamic_exit_fixed_current,329.93,16.5,24.74,354.68
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 00:45:00,SELL,1.3434,1.34398,3.0,1.34398,loss,-1.0,100.0,0.00058,0.0208,1.5467,structure,static,ORB 15m breakout,2026-01-21 00:15:00+00:00,2026-01-21 00:45:00+00:00,2026-01-21,3.0,"(100.0, 3.0, 3.0, -0.5467)",dynamic_exit_fixed_current,354.68,17.73,-17.73,336.94
fixed_current,ORB,NZDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 01:15:00,SELL,0.58235,0.58275,3.0,0.58275,loss,-1.0,100.0,0.0004,0.0625,1.3965,structure,static,ORB 15m breakout,2026-01-21 00:15:00+00:00,2026-01-21 01:15:00+00:00,2026-01-21,3.0,"(100.0, 3.0, 3.0, -0.3965000000000001)",dynamic_exit_fixed_current,336.94,16.85,-16.85,320.1
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-21 01:00:00,2026-01-21 05:00:00,SELL,212.513,212.6595,6.0,212.513,trail_stop,0.5,92.0,0.11,0.3125,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-21 01:00:00+00:00,2026-01-21 05:00:00+00:00,2026-01-21,3.0,"(92.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,320.1,16.0,8.0,328.1
fixed_current,LTA,USDCAD,M15,2026-01,2026-01-21 07:00:00,2026-01-21 11:00:00,BUY,1.38334,1.38274,6.0,1.38334,trail_stop,0.5,100.0,0.000289,0.0312,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-21 07:00:00+00:00,2026-01-21 11:00:00+00:00,2026-01-21,3.0,"(100.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,328.1,16.4,8.2,336.3
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-22 00:15:00,2026-01-22 01:45:00,SELL,212.433,212.66986,6.0,212.66986,loss,-1.0,92.0,0.119071,0.4167,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-01-22 00:15:00+00:00,2026-01-22 01:45:00+00:00,2026-01-22,3.0,"(92.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,336.3,16.82,-16.82,319.49
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-22 00:15:00,2026-01-22 02:15:00,BUY,1.34213,1.34164,3.0,1.34262,trail_stop,1.0,100.0,0.000508,0.1146,0.9648,structure,static,ORB 15m breakout,2026-01-22 00:15:00+00:00,2026-01-22 02:15:00+00:00,2026-01-22,3.0,"(100.0, 3.0, 3.0, -0.03520000000000001)",dynamic_exit_fixed_current,319.49,15.97,15.97,335.46
fixed_current,ORB,USDCAD,M15,2026-01,2026-01-22 00:15:00,2026-01-22 02:15:00,SELL,1.38403,1.38441,6.0,1.38289,trail_stop,2.0,100.0,0.000411,0.3125,0.9252,structure,static,ORB 15m breakout,2026-01-22 00:15:00+00:00,2026-01-22 02:15:00+00:00,2026-01-22,3.0,"(100.0, 6.0, 3.0, -0.07479999999999998)",dynamic_exit_fixed_current,335.46,16.77,33.55,369.01
fixed_current,ORB,USDCHF,M15,2026-01,2026-01-22 00:15:00,2026-01-22 01:00:00,SELL,0.79589,0.79632,3.0,0.79546,trail_stop,1.0,100.0,0.00043,0.0625,1.0847,structure,static,ORB 15m breakout,2026-01-22 00:15:00+00:00,2026-01-22 01:00:00+00:00,2026-01-22,3.0,"(100.0, 3.0, 3.0, -0.0847)",dynamic_exit_fixed_current,369.01,18.45,18.45,387.46
fixed_current,LTA,USDCAD,M30,2026-01,2026-01-22 07:00:00,2026-01-22 08:00:00,SELL,1.38195,1.38276,6.0,1.38276,loss,-1.0,96.0,0.000548,0.1979,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-22 07:00:00+00:00,2026-01-22 08:00:00+00:00,2026-01-22,4.0,"(96.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,387.46,19.37,-19.37,368.08
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-23 00:15:00,2026-01-23 01:30:00,BUY,0.68409,0.68386,6.0,0.68501,trail_stop,2.5,100.0,0.00023,0.0521,1.3036,structure,static,ORB 15m breakout,2026-01-23 00:15:00+00:00,2026-01-23 01:30:00+00:00,2026-01-23,3.0,"(100.0, 6.0, 3.0, -0.3036000000000001)",dynamic_exit_fixed_current,368.08,18.4,46.01,414.09
fixed_current,ORB,USDCAD,M15,2026-01,2026-01-23 00:15:00,2026-01-23 01:15:00,BUY,1.37903,1.3784,6.0,1.3784,loss,-1.0,95.0,0.00063,0.0729,2.5418,structure,static,ORB 15m breakout,2026-01-23 00:15:00+00:00,2026-01-23 01:15:00+00:00,2026-01-23,3.0,"(95.0, 6.0, 3.0, -1.5417999999999998)",dynamic_exit_fixed_current,414.09,20.7,-20.7,393.39
fixed_current,ORB,USDCHF,M15,2026-01,2026-01-23 00:15:00,2026-01-23 00:30:00,BUY,0.78946,0.78905,3.0,0.78905,loss,-1.0,100.0,0.00041,0.0312,1.6833,structure,static,ORB 15m breakout,2026-01-23 00:15:00+00:00,2026-01-23 00:30:00+00:00,2026-01-23,3.0,"(100.0, 3.0, 3.0, -0.6833)",dynamic_exit_fixed_current,393.39,19.67,-19.67,373.72
fixed_current,LTA,GBPJPY,M30,2026-01,2026-01-23 05:30:00,2026-01-23 07:30:00,BUY,214.108,213.85296,6.0,214.36304,trail_stop,1.0,100.0,0.160286,0.1875,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-23 05:30:00+00:00,2026-01-23 07:30:00+00:00,2026-01-23,4.0,"(100.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,373.72,18.69,18.69,392.41
fixed_current,LTA,USDCAD,M15,2026-01,2026-01-23 05:30:00,2026-01-23 08:30:00,BUY,1.37884,1.37824,6.0,1.37884,trail_stop,0.5,96.0,0.000334,0.1771,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-23 05:30:00+00:00,2026-01-23 08:30:00+00:00,2026-01-23,3.0,"(96.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,392.41,19.62,9.81,402.22
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-26 00:15:00,2026-01-26 00:45:00,SELL,1.36459,1.36642,3.0,1.36642,loss,-1.0,100.0,0.00183,0.8125,1.6164,structure,static,ORB 15m breakout,2026-01-26 00:15:00+00:00,2026-01-26 00:45:00+00:00,2026-01-26,3.0,"(100.0, 3.0, 3.0, -0.6164000000000001)",dynamic_exit_fixed_current,402.22,20.11,-20.11,382.11
fixed_current,ORB,USDCHF,M15,2026-01,2026-01-26 00:15:00,2026-01-26 00:30:00,BUY,0.77897,0.77788,3.0,0.77788,loss,-1.0,100.0,0.00178,0.9479,0.6124,structure,static,ORB 15m breakout,2026-01-26 00:15:00+00:00,2026-01-26 00:30:00+00:00,2026-01-26,3.0,"(100.0, 3.0, 3.0, -0.38759999999999994)",dynamic_exit_fixed_current,382.11,19.11,-19.11,363.0
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-26 00:30:00,2026-01-26 02:00:00,BUY,0.69155,0.69059,6.0,0.69155,trail_stop,0.5,100.0,0.00096,1.0,1.1247,structure,static,ORB 15m breakout,2026-01-26 00:30:00+00:00,2026-01-26 02:00:00+00:00,2026-01-26,3.0,"(100.0, 6.0, 3.0, -0.12470000000000003)",dynamic_exit_fixed_current,363.0,18.15,9.08,372.08
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-26 04:00:00,2026-01-26 06:15:00,SELL,210.334,210.8905,6.0,210.8905,loss,-1.0,100.0,0.27,0.5,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-01-26 04:00:00+00:00,2026-01-26 06:15:00+00:00,2026-01-26,3.0,"(100.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,372.08,18.6,-18.6,353.47
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-26 05:30:00,2026-01-26 06:15:00,SELL,0.69137,0.69187,6.0,0.69137,trail_stop,0.5,91.0,0.000488,0.1667,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-01-26 05:30:00+00:00,2026-01-26 06:15:00+00:00,2026-01-26,3.0,"(91.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,353.47,17.67,8.84,362.31
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-26 07:00:00,2026-01-26 08:30:00,SELL,0.69113,0.69215,6.0,0.69215,loss,-1.0,91.0,0.000528,0.3021,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,2026-01-26 07:00:00+00:00,2026-01-26 08:30:00+00:00,2026-01-26,3.0,"(91.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,362.31,18.12,-18.12,344.19
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-27 00:15:00,2026-01-27 01:15:00,SELL,0.69124,0.69161,6.0,0.69124,trail_stop,0.5,100.0,0.00037,0.0417,1.4758,structure,static,ORB 15m breakout,2026-01-27 00:15:00+00:00,2026-01-27 01:15:00+00:00,2026-01-27,3.0,"(100.0, 6.0, 3.0, -0.4758)",dynamic_exit_fixed_current,344.19,17.21,8.6,352.8
