policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 02:15:00,BUY,0.67322,0.6729,6.0,0.67386,trail_stop,1.5,91,0.000239,0.0104,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-26 05:30:00,2026-01-26 06:15:00,SELL,0.69137,0.69187,6.0,0.69137,trail_stop,0.5,91,0.000488,0.1667,,structure,static,Entry Model 2 - Internal Swing Confirmation
fixed_current,LTA,AUDUSD,M15,2026-01,2026-01-26 07:00:00,2026-01-26 08:30:00,SELL,0.69113,0.69215,6.0,0.69215,loss,-1.0,91,0.000528,0.3021,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-05 03:15:00,2026-02-06 03:30:00,SELL,0.69667,0.70034,6.0,0.69362,timeout,0.9155,90,0.000956,0.7812,,structure,static,Entry Model 2 - Internal Swing Confirmation
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-12 00:15:00,2026-02-12 03:45:00,BUY,0.71295,0.71184,6.0,0.71295,trail_stop,0.5,90,0.000374,0.1562,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-12 05:30:00,2026-02-12 06:30:00,BUY,0.71207,0.71104,6.0,0.71104,loss,-1.0,97,0.000637,0.6354,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-13 01:00:00,2026-02-13 04:45:00,BUY,0.70906,0.70797,6.0,0.70797,loss,-1.0,92,0.000456,0.1354,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-13 01:45:00,2026-02-13 08:00:00,SELL,0.70867,0.70978,6.0,0.70645,trail_stop,1.5,92,0.000588,0.3125,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-16 07:00:00,2026-02-16 08:45:00,SELL,0.70848,0.70955,6.0,0.70955,loss,-1.0,99,0.000458,0.0833,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-18 03:15:00,2026-02-18 05:30:00,BUY,0.70678,0.70646,6.0,0.70678,trail_stop,0.5,96,0.000434,0.2188,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-18 05:30:00,2026-02-18 06:45:00,SELL,0.70664,0.70726,6.0,0.70726,loss,-1.0,100,0.000338,0.1354,,structure,static,Entry Model 1 - Double Wick Confirmation
