symbol,broker_symbol,timeframe,side,signal_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,r_multiple,pnl,balance_after,exit_reason,bars_held,pivot_rsi,previous_rsi,risk_points,lot,target_risk,actual_risk,risk_mode
EURJPY,EURJPY..,M5,SELL,2025-07-24T07:45:00+00:00,2025-07-24T08:05:00+00:00,2025-07-24T09:15:00+00:00,171.92,172.062147,171.777853,171.706779,171.635705,-1.0,-300.0,9700.0,stop,14,49.96,51.88,0.142147,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-24T09:00:00+00:00,2025-07-24T09:20:00+00:00,2025-07-24T16:15:00+00:00,172.042,171.765232,172.318768,172.457152,172.595536,1.5,436.5,10136.5,tp3,83,54.81,45.04,0.276768,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-28T07:55:00+00:00,2025-07-28T08:50:00+00:00,2025-07-28T09:15:00+00:00,173.574,173.477485,173.670515,173.718773,173.767031,1.1667,354.78,10491.28,stop,5,36.32,33.98,0.096515,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-29T07:10:00+00:00,2025-07-29T07:35:00+00:00,2025-07-29T08:25:00+00:00,171.886,171.732827,172.039173,172.115759,172.192346,-1.0,-314.74,10176.54,stop,10,36.11,27.71,0.153173,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-07-29T08:35:00+00:00,2025-07-29T08:55:00+00:00,2025-07-29T09:55:00+00:00,171.683,171.886992,171.479008,171.377011,171.275015,1.5,457.94,10634.48,tp3,12,36.74,43.15,0.203992,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-30T07:00:00+00:00,2025-07-30T07:20:00+00:00,2025-07-30T08:20:00+00:00,171.149,170.975952,171.322048,171.408572,171.495096,-1.0,-319.03,10315.45,stop,12,40.68,22.99,0.173048,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-30T08:45:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T11:25:00+00:00,170.993,170.833068,171.152932,171.232898,171.312864,0.3333,103.15,10418.6,stop,26,26.95,24.0,0.159932,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-31T06:35:00+00:00,2025-07-31T07:05:00+00:00,2025-07-31T09:45:00+00:00,169.934,169.586654,170.281346,170.45502,170.628693,1.5,468.84,10887.44,tp3,32,24.17,20.34,0.347346,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-01T08:15:00+00:00,2025-08-01T08:40:00+00:00,2025-08-01T09:40:00+00:00,171.976,171.867787,172.084213,172.138319,172.192425,1.5,489.93,11377.38,tp3,12,46.23,41.71,0.108213,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-04T08:00:00+00:00,2025-08-04T08:20:00+00:00,2025-08-04T09:30:00+00:00,171.034,170.850654,171.217346,171.30902,171.400693,-1.0,-341.32,11036.05,stop,14,53.05,45.52,0.183346,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-04T09:15:00+00:00,2025-08-04T09:35:00+00:00,2025-08-04T11:15:00+00:00,170.846,171.133635,170.558365,170.414548,170.270731,-1.0,-331.08,10704.97,stop,20,54.39,56.24,0.287635,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-05T07:05:00+00:00,2025-08-05T07:25:00+00:00,2025-08-05T09:00:00+00:00,170.079,170.206568,169.951432,169.887648,169.823863,1.5,481.72,11186.7,tp3,19,51.58,57.92,0.127568,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-05T10:45:00+00:00,2025-08-05T11:05:00+00:00,2025-08-05T12:45:00+00:00,170.109,170.35031,169.86769,169.747035,169.62638,-1.0,-335.6,10851.1,stop,20,63.83,67.44,0.24131,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-07T08:30:00+00:00,2025-08-07T08:55:00+00:00,2025-08-07T09:10:00+00:00,171.945,171.8127,172.0773,172.14345,172.209601,-1.0,-325.53,10525.56,stop,3,39.68,33.78,0.1323,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-07T10:30:00+00:00,2025-08-07T10:55:00+00:00,2025-08-07T11:50:00+00:00,171.539,171.313144,171.764856,171.877783,171.990711,1.5,473.65,10999.21,tp3,11,27.11,20.96,0.225856,0.0,0.0,0.0,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-11T07:50:00+00:00,2025-08-11T08:35:00+00:00,2025-08-11T10:25:00+00:00,172.129,172.190581,172.067419,172.036628,172.005837,1.5,494.96,11494.18,tp3,22,55.42,58.61,0.061581,0.0,0.0,0.0,RISK_PERCENT
