case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-standard-dynamic-native,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-deployed-standard-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
deployed-safe-dynamic-native,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-deployed-safe-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10503.29,503.29,5.03,1.29,58.7,3.88,46,1.21,1.19,98%,0.81,1.26
standard-native-only,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-standard-native-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11398.8,1398.8,13.99,1.34,47.56,8.24,82,1.32,1.39,98%,1.28,1.53
standard-dynamic-only,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-standard-dynamic-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11436.66,1436.66,14.37,1.36,56.84,8.91,95,1.5,1.31,98%,1.33,1.53
standard-no-management,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-standard-no-management.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11569.6,1569.6,15.7,1.45,45.71,5.86,70,1.37,2.32,98%,1.49,2.88
rr-050,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11569.79,1569.79,15.7,1.44,82.41,5.53,216,2.61,2.35,98%,2.19,2.58
rr-075,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10807.36,807.36,8.07,1.19,72.41,6.19,174,1.14,1.24,98%,1.01,1.24
rr-100,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10951.96,951.96,9.52,1.21,65.07,9.37,146,1.25,0.86,98%,1.05,0.9
rr-125,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-125.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10488.17,488.17,4.88,1.1,58.78,8.68,131,0.62,0.49,98%,0.5,0.53
rr-150,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11076.51,1076.51,10.77,1.25,59.29,7.62,113,1.28,1.19,98%,1.1,1.26
