ea_1,label_1,symbol_1,ea_2,label_2,symbol_2,daily_r_correlation
news-pulse-xag,News Pulse XAG,XAGUSD,news-pulse-xau,News Pulse XAU,XAUUSD,0.9028
news-pulse-eurusd,News Pulse EURUSD,EURUSD,news-pulse-xau,News Pulse XAU,XAUUSD,0.83379
news-pulse-eurusd,News Pulse EURUSD,EURUSD,news-pulse-xag,News Pulse XAG,XAGUSD,0.78973
orb-volume-profile,ORB Volume Profile,XAUUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,0.69046
orb-volume-profile,ORB Volume Profile,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,0.68466
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,0.4351
asia-breakout,Asia Breakout,XAUUSD,ema3,EMA3,XAUUSD,0.2922
xau-regime-switch,XAU Regime Switch,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.26519
asia-breakout,Asia Breakout,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.23679
ema3,EMA3,XAUUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,0.21877
xau-regime-switch,XAU Regime Switch,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.2035
ema3,EMA3,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.20164
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.20078
ema3,EMA3,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.1959
asia-breakout,Asia Breakout,XAUUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,0.19224
xau-trend-progression,XAU Trend Progression,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.19182
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.17158
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.16378
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.15709
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.15584
asia-breakout,Asia Breakout,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.15212
xau-regime-switch,XAU Regime Switch,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.14649
ema3,EMA3,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.14283
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,0.1416
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.13829
xau-slow-trend,XAU Slow Trend,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.13359
asia-breakout,Asia Breakout,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.12918
ema3,EMA3,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.12664
ema3,EMA3,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.12133
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.11574
xau-slow-trend,XAU Slow Trend,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.11565
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.11338
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.10846
asia-breakout,Asia Breakout,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.10819
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,news-pulse-xau,News Pulse XAU,XAUUSD,0.09739
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.09727
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,news-pulse-xag,News Pulse XAG,XAGUSD,0.09549
orb-volume-profile,ORB Volume Profile,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.09533
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.09292
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.09049
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.08386
asia-breakout,Asia Breakout,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.08119
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.08108
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.08102
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.07917
orb-volume-profile,ORB Volume Profile,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.0779
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.07444
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,0.07332
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.07257
us100-month-end-flow,US100 Month End Flow,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.07222
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.07104
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.07098
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.06928
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.06881
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.06826
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.06799
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.06759
news-pulse-xau,News Pulse XAU,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.06435
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,lta-volume-profile,LTA Volume Profile,XAUUSD,0.06234
asia-breakout,Asia Breakout,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.06036
news-pulse-xag,News Pulse XAG,XAGUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.06033
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.05984
ema3,EMA3,XAUUSD,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,0.05641
us100-month-end-flow,US100 Month End Flow,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,0.05616
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.05613
nasdaq-overnight,Nasdaq Overnight,USTEC,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.05609
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.05582
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.05511
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.05481
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.05465
nasdaq-overnight,Nasdaq Overnight,USTEC,news-pulse-xag,News Pulse XAG,XAGUSD,0.05317
nasdaq-overnight,Nasdaq Overnight,USTEC,news-pulse-xau,News Pulse XAU,XAUUSD,0.05221
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.05106
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.05052
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.0491
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.04883
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.04732
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.04701
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.04623
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.04512
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.04371
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,us100-month-end-flow,US100 Month End Flow,USTEC,0.0437
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,orb-volume-profile,ORB Volume Profile,XAUUSD,0.04338
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.04291
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.04192
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.04129
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.04074
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.03951
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.03925
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,0.03806
asia-breakout,Asia Breakout,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.03796
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.03779
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.03736
asia-breakout,Asia Breakout,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.03726
ema3,EMA3,XAUUSD,news-pulse-xau,News Pulse XAU,XAUUSD,0.03651
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.03508
