symbol,broker_symbol,timeframe,side,signal_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,r_multiple,pnl,balance_after,exit_reason,bars_held,pivot_rsi,previous_rsi,risk_points,lot,target_risk,actual_risk,risk_mode
EURJPY,EURJPY..,M5,SELL,2025-07-24T07:45:00+00:00,2025-07-24T08:05:00+00:00,2025-07-24T09:15:00+00:00,171.92,172.062147,171.777853,171.706779,171.635705,-1.0,-199.58,9800.42,stop,14,49.96,51.88,0.142147,2.29,200.0,199.58,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-24T09:00:00+00:00,2025-07-24T09:20:00+00:00,2025-07-24T16:15:00+00:00,172.042,171.765232,172.318768,172.457152,172.595536,1.5,292.73,10093.15,tp3,83,54.81,45.04,0.276768,1.15,196.01,195.15,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-28T07:55:00+00:00,2025-07-28T08:50:00+00:00,2025-07-28T09:15:00+00:00,173.574,173.477485,173.670515,173.718773,173.767031,1.1667,235.42,10328.57,stop,5,36.32,33.98,0.096515,3.41,201.86,201.79,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-29T07:10:00+00:00,2025-07-29T07:35:00+00:00,2025-07-29T08:25:00+00:00,171.886,171.732827,172.039173,172.115759,172.192346,-1.0,-205.67,10122.9,stop,10,36.11,27.71,0.153173,2.19,206.57,205.67,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-07-29T08:35:00+00:00,2025-07-29T08:55:00+00:00,2025-07-29T09:55:00+00:00,171.683,171.886992,171.479008,171.377011,171.275015,1.5,302.05,10424.95,tp3,12,36.74,43.15,0.203992,1.61,202.46,201.37,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-30T07:00:00+00:00,2025-07-30T07:20:00+00:00,2025-07-30T08:20:00+00:00,171.149,170.975952,171.322048,171.408572,171.495096,-1.0,-207.96,10216.99,stop,12,40.68,22.99,0.173048,1.96,208.5,207.96,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-30T08:45:00+00:00,2025-07-30T09:15:00+00:00,2025-07-30T11:25:00+00:00,170.993,170.833068,171.152932,171.232898,171.312864,0.3333,67.99,10284.98,stop,26,26.95,24.0,0.159932,2.08,204.34,203.96,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-31T06:35:00+00:00,2025-07-31T07:05:00+00:00,2025-07-31T09:45:00+00:00,169.934,169.586654,170.281346,170.45502,170.628693,1.5,306.67,10591.65,tp3,32,24.17,20.34,0.347346,0.96,205.7,204.45,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-01T08:15:00+00:00,2025-08-01T08:40:00+00:00,2025-08-01T09:40:00+00:00,171.976,171.867787,172.084213,172.138319,172.192425,1.5,317.47,10909.13,tp3,12,46.23,41.71,0.108213,3.19,211.83,211.65,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-04T08:00:00+00:00,2025-08-04T08:20:00+00:00,2025-08-04T09:30:00+00:00,171.034,170.850654,171.217346,171.30902,171.400693,-1.0,-218.08,10691.05,stop,14,53.05,45.52,0.183346,1.94,218.18,218.08,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-04T09:15:00+00:00,2025-08-04T09:35:00+00:00,2025-08-04T11:15:00+00:00,170.846,171.133635,170.558365,170.414548,170.270731,-1.0,-213.39,10477.66,stop,20,54.39,56.24,0.287635,1.21,213.82,213.39,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-05T07:05:00+00:00,2025-08-05T07:25:00+00:00,2025-08-05T09:00:00+00:00,170.079,170.206568,169.951432,169.887648,169.823863,1.5,313.25,10790.9,tp3,19,51.58,57.92,0.127568,2.67,209.55,208.83,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-05T10:45:00+00:00,2025-08-05T11:05:00+00:00,2025-08-05T12:45:00+00:00,170.109,170.35031,169.86769,169.747035,169.62638,-1.0,-214.53,10576.37,stop,20,63.83,67.44,0.24131,1.45,215.82,214.53,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-07T08:30:00+00:00,2025-08-07T08:55:00+00:00,2025-08-07T09:10:00+00:00,171.945,171.8127,172.0773,172.14345,172.209601,-1.0,-210.9,10365.47,stop,3,39.68,33.78,0.1323,2.6,211.53,210.9,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-07T10:30:00+00:00,2025-08-07T10:55:00+00:00,2025-08-07T11:50:00+00:00,171.539,171.313144,171.764856,171.877783,171.990711,1.5,309.5,10674.97,tp3,11,27.11,20.96,0.225856,1.49,207.31,206.33,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-11T07:50:00+00:00,2025-08-11T08:35:00+00:00,2025-08-11T10:25:00+00:00,172.129,172.190581,172.067419,172.036628,172.005837,1.5,319.99,10994.96,tp3,22,55.42,58.61,0.061581,5.65,213.5,213.33,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-12T07:35:00+00:00,2025-08-12T08:05:00+00:00,2025-08-12T08:40:00+00:00,172.439,172.539729,172.338271,172.287907,172.237542,1.5,329.79,11324.75,tp3,7,64.65,67.2,0.100729,3.56,219.9,219.86,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-12T09:40:00+00:00,2025-08-12T10:05:00+00:00,2025-08-12T12:30:00+00:00,172.21,172.002589,172.417411,172.521116,172.624822,0.3333,75.45,11400.21,stop,29,32.65,20.23,0.207411,1.78,226.5,226.36,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-13T07:30:00+00:00,2025-08-13T07:50:00+00:00,2025-08-13T09:00:00+00:00,172.924,173.063232,172.784768,172.715151,172.645535,1.1667,265.92,11666.12,stop,14,59.14,69.25,0.139232,2.67,228.0,227.93,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-14T07:50:00+00:00,2025-08-14T08:15:00+00:00,2025-08-14T09:10:00+00:00,171.408,171.208765,171.607235,171.706852,171.80647,-1.0,-233.32,11432.8,stop,11,27.53,24.56,0.199235,1.91,233.32,233.32,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-14T11:25:00+00:00,2025-08-14T11:45:00+00:00,2025-08-14T12:45:00+00:00,171.103,171.289002,170.916998,170.823997,170.730996,-1.0,-228.08,11204.72,stop,12,47.32,51.5,0.186002,2.0,228.66,228.08,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-15T08:10:00+00:00,2025-08-15T08:45:00+00:00,2025-08-15T10:50:00+00:00,171.602,171.453396,171.750604,171.824906,171.899208,1.1667,260.43,11465.16,stop,25,31.89,26.77,0.148604,2.45,224.09,223.23,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-18T07:45:00+00:00,2025-08-18T08:05:00+00:00,2025-08-18T11:00:00+00:00,172.507,172.70055,172.31345,172.216675,172.119899,1.5,343.54,11808.7,tp3,35,59.92,63.51,0.19355,1.93,229.3,229.03,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-19T07:45:00+00:00,2025-08-19T08:35:00+00:00,2025-08-19T09:05:00+00:00,172.282,172.433179,172.130821,172.055232,171.979642,1.1667,274.68,12083.38,stop,6,54.87,61.0,0.151179,2.54,236.17,235.44,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-21T06:15:00+00:00,2025-08-21T07:05:00+00:00,2025-08-21T10:40:00+00:00,171.643,171.480541,171.805459,171.886688,171.967917,1.5,361.58,12444.96,tp3,43,48.6,45.75,0.162459,2.42,241.67,241.05,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-25T06:30:00+00:00,2025-08-25T07:05:00+00:00,2025-08-25T07:40:00+00:00,172.492,172.36148,172.62252,172.68778,172.75304,-1.0,-248.88,12196.08,stop,7,52.37,48.97,0.13052,3.11,248.9,248.88,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-25T10:20:00+00:00,2025-08-25T10:45:00+00:00,2025-08-25T15:30:00+00:00,172.416,172.571909,172.260091,172.182136,172.104181,0.3333,81.25,12277.33,stop,57,51.5,59.66,0.155909,2.55,243.92,243.76,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-26T08:40:00+00:00,2025-08-26T09:10:00+00:00,2025-08-26T09:25:00+00:00,171.895,172.052084,171.737916,171.659374,171.580832,1.1667,285.4,12562.73,stop,3,67.62,74.26,0.157084,2.54,245.55,244.63,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-27T06:45:00+00:00,2025-08-27T07:25:00+00:00,2025-08-27T09:25:00+00:00,171.829,171.955105,171.702895,171.639843,171.576791,1.1667,292.26,12855.0,stop,24,65.1,73.87,0.126105,3.24,251.25,250.51,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-27T11:35:00+00:00,2025-08-27T12:00:00+00:00,2025-08-27T17:30:00+00:00,171.412,171.150672,171.673328,171.803993,171.934657,0.3333,85.45,12940.45,stop,66,38.27,28.4,0.261328,1.6,257.1,256.36,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-28T09:00:00+00:00,2025-08-28T09:20:00+00:00,2025-08-28T14:35:00+00:00,171.277,171.039693,171.514307,171.632961,171.751615,0.3333,85.84,13026.29,stop,63,33.23,25.79,0.237307,1.77,258.81,257.53,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-29T07:15:00+00:00,2025-08-29T07:35:00+00:00,2025-08-29T09:00:00+00:00,171.39,171.288874,171.491126,171.541689,171.592252,1.1667,303.81,13330.1,stop,17,54.13,49.86,0.101126,4.2,260.53,260.41,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-29T09:20:00+00:00,2025-08-29T09:40:00+00:00,2025-08-29T15:30:00+00:00,171.582,171.37544,171.78856,171.89184,171.99512,0.3333,88.65,13418.76,stop,70,62.26,53.54,0.20656,2.1,266.6,265.96,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-09-03T08:20:00+00:00,2025-09-03T09:10:00+00:00,2025-09-03T11:25:00+00:00,172.879,172.685232,173.072768,173.169652,173.266536,1.5,400.97,13819.72,tp3,27,30.41,24.18,0.193768,2.25,268.38,267.31,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-09-04T08:15:00+00:00,2025-09-04T08:35:00+00:00,2025-09-04T10:00:00+00:00,172.677,172.809505,172.544495,172.478242,172.41199,-1.0,-276.22,13543.5,stop,17,53.26,56.69,0.132505,3.4,276.39,276.22,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-09-04T11:30:00+00:00,2025-09-04T11:50:00+00:00,2025-09-04T16:30:00+00:00,172.73,172.997176,172.462824,172.329236,172.195648,-1.0,-270.29,13273.21,stop,56,61.41,64.53,0.267176,1.65,270.87,270.29,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-09-05T06:35:00+00:00,2025-09-05T07:05:00+00:00,2025-09-05T13:45:00+00:00,172.956,172.81222,173.09978,173.17167,173.24356,1.5,398.02,13671.24,tp3,80,51.81,48.86,0.14378,3.01,265.46,265.35,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-09-08T06:05:00+00:00,2025-09-08T07:05:00+00:00,2025-09-08T09:50:00+00:00,173.524,173.320896,173.727104,173.828656,173.930208,-1.0,-272.72,13398.52,stop,33,46.41,35.24,0.203104,2.19,273.42,272.72,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-09-08T11:00:00+00:00,2025-09-08T11:55:00+00:00,2025-09-08T17:45:00+00:00,173.206,172.986017,173.425983,173.535974,173.645965,1.5,400.59,13799.11,tp3,70,33.31,18.79,0.219983,1.98,267.97,267.06,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-09-09T06:05:00+00:00,2025-09-09T07:05:00+00:00,2025-09-09T08:15:00+00:00,173.355,173.467721,173.242279,173.185919,173.129559,1.5,413.64,14212.75,tp3,14,44.45,54.37,0.112721,3.99,275.98,275.76,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-09-09T09:20:00+00:00,2025-09-09T09:40:00+00:00,2025-09-09T11:15:00+00:00,173.035,173.157197,172.912803,172.851704,172.790605,1.5,425.92,14638.67,tp3,19,38.44,40.69,0.122197,3.79,284.25,283.95,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-09-11T06:30:00+00:00,2025-09-11T07:05:00+00:00,2025-09-11T09:00:00+00:00,172.465,172.563965,172.366035,172.316552,172.267069,-1.0,-292.47,14346.2,stop,23,54.81,56.84,0.098965,4.82,292.77,292.47,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-09-15T08:40:00+00:00,2025-09-15T09:00:00+00:00,2025-09-15T14:00:00+00:00,173.002,172.877688,173.126312,173.188468,173.250624,1.5,429.87,14776.07,tp3,60,48.22,46.35,0.124312,3.76,286.92,286.58,RISK_PERCENT
