case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
legacy-standard-dynamic5020,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-legacy-standard-dynamic5020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,12530.88,2530.88,25.31,1.14,48.53,18.88,307,2.24,0.95,99%,1.01,0.97
legacy-safe-dynamic5020,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-legacy-safe-dynamic5020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,13262.09,3262.09,32.62,1.28,51.9,9.58,210,4.19,2.44,99%,1.56,2.66
final-m30-structure-rr500,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-m30-structure-rr500.htm,2025.09.01,2026.09.01,0,1.00,10000.0,16522.46,6522.46,65.22,1.73,38.53,12.98,109,3.54,3.0,99%,2.13,3.34
final-m30-structure-rr500-safe,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-m30-structure-rr500-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,15203.72,5203.72,52.04,1.89,39.47,8.93,76,4.04,3.67,99%,2.09,4.4
final-m30-structure-rr400,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-m30-structure-rr400.htm,2025.09.01,2026.09.01,0,1.00,10000.0,18960.41,8960.41,89.6,1.89,43.2,12.79,125,5.4,3.87,99%,2.78,4.69
final-imp150-structure-rr500,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-structure-rr500.htm,2025.09.01,2026.09.01,0,1.00,10000.0,12411.16,2411.16,24.11,1.11,26.34,29.74,243,1.09,0.52,99%,0.63,0.58
final-imp150-structure-rr500-safe,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-structure-rr500-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,13679.35,3679.35,36.79,1.25,26.99,19.72,163,2.37,1.15,99%,1.06,1.35
final-imp150-structure-rr250,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-structure-rr250.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11588.03,1588.03,15.88,1.08,41.82,26.6,318,1.07,0.42,99%,0.57,0.45
final-imp150-atr300-rr200,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-atr300-rr200.htm,2025.09.01,2026.09.01,0,1.00,10000.0,12021.35,2021.35,20.21,1.13,47.33,17.8,262,1.58,0.82,99%,0.91,0.9
final-imp150-atr300-rr200-safe,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-atr300-rr200-safe.htm,2025.09.01,2026.09.01,0,1.00,10000.0,12255.36,2255.36,22.55,1.22,48.6,13.51,179,2.62,1.19,99%,1.21,1.35
