00 - GOLDENROCK MQL5 PROMPT INDEX.txt
Templates discovered: 18

01 | Trend Following Starter | Classic / Beginner | Beginner | Easy | src/data/strategyModels.js | 01 - Trend Following Starter.txt
02 | Breakout Confirmation Model | Momentum / Volatility | Beginner / Intermediate | Medium | src/data/strategyModels.js | 02 - Breakout Confirmation Model.txt
03 | Liquidity Sweep Reversal | Liquidity / Reversal | Intermediate | Hard | src/data/strategyModels.js | 03 - Liquidity Sweep Reversal.txt
04 | Multi-Timeframe Institutional Setup | Institutional Structure | Advanced | Hard | src/data/strategyModels.js | 04 - Multi-Timeframe Institutional Setup.txt
05 | Institutional Liquidity & Order-Flow Model | Liquidity / Order Flow | Institutional | Very Hard | src/data/strategyModels.js | 05 - Institutional Liquidity & Order-Flow Model.txt
06 | SMC Model | Smart Money Concepts | Advanced | Hard | src/data/strategyModels.js | 06 - SMC Model.txt
07 | ICT Model | ICT / Time-Based Liquidity | Advanced / Institutional | Very Hard | src/data/strategyModels.js | 07 - ICT Model.txt
08 | CRT Model | Candle Range Theory | Intermediate | Medium | src/data/strategyModels.js | 08 - CRT Model.txt
09 | SNR + ICT Model | Support/Resistance + ICT | Intermediate / Advanced | Hard | src/data/strategyModels.js | 09 - SNR + ICT Model.txt
10 | SMC + Liquidity Sweep Model | SMC / Stop Hunt | Advanced | Hard | src/data/strategyModels.js | 10 - SMC + Liquidity Sweep Model.txt
11 | News + Structure Model | Macro News / Market Structure | Advanced | Very Hard | src/data/strategyModels.js | 11 - News + Structure Model.txt
12 | Gold / XAUUSD Institutional Model | Precious Metals / Institutional | Expert | Very Hard | src/data/strategyModels.js | 12 - Gold - XAUUSD Institutional Model.txt
13 | Elliott Wave Structure Model | Wave Theory / Market Structure | Advanced | Very Hard | src/data/strategyModels.js | 13 - Elliott Wave Structure Model.txt
14 | Harmonic + PRZ Reversal Model | Harmonics / Fibonacci / PRZ | Advanced | Hard / Very Hard | src/data/strategyModels.js | 14 - Harmonic + PRZ Reversal Model.txt
15 | Full Order Flow Execution Model | Order Flow / Volume / Institutional Execution | Expert / Institutional | Very Hard | src/data/strategyModels.js | 15 - Full Order Flow Execution Model.txt
16 | 5-Min Price Action Scalping Model | Pure Price Action / Scalping | Advanced | Hard | src/data/strategyModels.js | 16 - 5-Min Price Action Scalping Model.txt
17 | MTF Intraday Scalping Model | Multi-Timeframe / Pullback / Intraday Scalping | Intermediate / Advanced | Medium / Hard | src/data/strategyModels.js | 17 - MTF Intraday Scalping Model.txt
18 | VWAP / Session Bias Scalping Model | VWAP / Session Timing / Directional Bias | Intermediate / Advanced | Medium / Hard | src/data/strategyModels.js | 18 - VWAP - Session Bias Scalping Model.txt
