symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
XAUUSD,30,1.3043478260869565,2025-12,2025-12-25,2025-12-26 00:30:00,2025-12-26 01:00:00,BUY,4507.248,4492.341,4526.691913,4526.691913,win,1.3042,0.0001,160.0,1944.39,4507.248,4492.341,1.841
US30,30,1.3043478260869565,2025-12,2025-12-25,2025-12-26 01:00:00,2025-12-26 02:15:00,SELL,48790.8,48822.7,48749.191304,48749.191304,win,1.2385,0.0658,21.0,41.61,48822.7,48790.8,0.8442
XAUUSD,30,1.3043478260869565,2025-12,2025-12-28,2025-12-29 00:30:00,2025-12-29 07:00:00,SELL,4482.529,4528.008,4423.208565,4473.428,timeout,0.2001,0.0,160.0,910.1,4528.008,4482.529,4.9301
XAUUSD,30,1.3043478260869565,2025-12,2025-12-29,2025-12-30 00:45:00,2025-12-30 01:45:00,SELL,4337.988,4350.881,4321.171043,4350.881,loss,-1.0001,0.0001,160.0,-1289.3,4350.881,4337.988,1.4406
XAUUSD,30,1.3043478260869565,2025-12,2025-12-30,2025-12-31 00:30:00,2025-12-31 01:15:00,BUY,4344.195,4332.467,4359.492391,4359.492391,win,1.3042,0.0001,160.0,1529.74,4344.195,4332.467,1.1196
US30,30,1.3043478260869565,2026-01,2026-01-01,2026-01-02 00:30:00,2026-01-02 03:30:00,BUY,48191.7,48159.4,48233.830435,48233.830435,win,1.2393,0.065,21.0,42.13,48191.7,48159.4,0.6847
XAUUSD,30,1.3043478260869565,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 03:00:00,BUY,4353.298,4341.303,4368.943652,4368.943652,win,1.3042,0.0001,160.0,1564.57,4353.298,4341.303,1.309
XAUUSD,30,1.3043478260869565,2026-01,2026-01-04,2026-01-05 00:30:00,2026-01-05 01:00:00,BUY,4389.652,4370.227,4414.988957,4414.988957,win,1.3043,0.0001,160.0,2533.7,4389.652,4370.227,2.0727
US30,30,1.3043478260869565,2026-01,2026-01-04,2026-01-05 01:00:00,2026-01-05 01:15:00,BUY,48413.6,48372.3,48467.469565,48372.3,loss,-1.046,0.046,19.0,-41.3,48413.6,48372.3,0.8919
US30,30,1.3043478260869565,2026-01,2026-01-05,2026-01-06 01:00:00,2026-01-06 01:45:00,BUY,49018.8,48992.2,49053.495652,49053.495652,win,1.2329,0.0714,19.0,34.7,49018.8,48992.2,0.6541
US30,30,1.3043478260869565,2026-01,2026-01-06,2026-01-07 00:45:00,2026-01-07 01:45:00,BUY,49543.5,49520.5,49573.5,49573.5,win,1.213,0.0913,21.0,30.0,49543.5,49520.5,0.8868
US30,30,1.3043478260869565,2026-01,2026-01-07,2026-01-08 00:30:00,2026-01-08 02:15:00,SELL,49046.4,49068.5,49017.573913,49017.573913,win,1.2093,0.095,21.0,28.83,49068.5,49046.4,0.5229
XAUUSD,30,1.3043478260869565,2026-01,2026-01-07,2026-01-08 00:30:00,2026-01-08 02:30:00,SELL,4454.203,4466.48,4438.189522,4438.189522,win,1.3042,0.0001,160.0,1601.35,4466.48,4454.203,2.4798
US30,30,1.3043478260869565,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 01:15:00,SELL,49317.4,49341.7,49285.704348,49285.704348,win,1.2179,0.0864,21.0,31.7,49341.7,49317.4,0.669
XAUUSD,30,1.3043478260869565,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 06:45:00,SELL,4463.551,4476.742,4446.345348,4476.742,loss,-1.0001,0.0001,160.0,-1319.1,4476.742,4463.551,2.2199
US30,30,1.3043478260869565,2026-01,2026-01-11,2026-01-12 00:30:00,2026-01-12 00:30:00,SELL,49440.1,49472.5,49397.83913,49397.83913,win,1.2395,0.0648,21.0,42.26,49472.5,49440.1,0.9221
XAUUSD,30,1.3043478260869565,2026-01,2026-01-11,2026-01-12 00:30:00,2026-01-12 07:00:00,BUY,4565.984,4536.245,4604.774,4583.338,timeout,0.5835,0.0001,160.0,1735.4,4565.984,4536.245,4.2858
US30,30,1.3043478260869565,2026-01,2026-01-12,2026-01-13 00:30:00,2026-01-13 01:45:00,SELL,49553.4,49581.5,49516.747826,49581.5,loss,-1.0747,0.0747,21.0,-28.1,49581.5,49553.4,0.7678
XAUUSD,30,1.3043478260869565,2026-01,2026-01-12,2026-01-13 00:30:00,2026-01-13 04:15:00,SELL,4588.197,4599.73,4573.153957,4599.73,loss,-1.0001,0.0001,160.0,-1153.3,4599.73,4588.197,1.2619
US30,30,1.3043478260869565,2026-01,2026-01-13,2026-01-14 01:00:00,2026-01-14 01:45:00,SELL,49173.2,49202.7,49134.721739,49134.721739,win,1.2399,0.0644,19.0,38.48,49202.7,49173.2,0.7674
XAUUSD,30,1.3043478260869565,2026-01,2026-01-13,2026-01-14 01:00:00,2026-01-14 03:45:00,BUY,4610.728,4597.14,4628.451478,4628.451478,win,1.3042,0.0001,160.0,1772.35,4610.728,4597.14,1.8858
XAUUSD,30,1.3043478260869565,2026-01,2026-01-14,2026-01-15 00:45:00,2026-01-15 01:15:00,SELL,4611.652,4618.206,4603.103304,4603.103304,win,1.3041,0.0002,160.0,854.87,4618.206,4611.652,0.7156
US30,30,1.3043478260869565,2026-01,2026-01-14,2026-01-15 01:00:00,2026-01-15 01:45:00,BUY,49123.5,49097.2,49157.804348,49157.804348,win,1.2245,0.0798,21.0,34.3,49123.5,49097.2,0.3996
XAUUSD,30,1.3043478260869565,2026-01,2026-01-15,2026-01-16 00:30:00,2026-01-16 02:30:00,SELL,4603.393,4611.358,4593.00387,4593.00387,win,1.3041,0.0002,160.0,1038.91,4611.358,4603.393,1.3972
US30,30,1.3043478260869565,2026-01,2026-01-15,2026-01-16 01:00:00,2026-01-16 01:15:00,BUY,49514.5,49490.2,49546.195652,49490.2,loss,-1.0864,0.0864,21.0,-24.3,49514.5,49490.2,0.6372
XAUUSD,30,1.3043478260869565,2026-01,2026-01-18,2026-01-19 00:30:00,2026-01-19 01:15:00,BUY,4678.385,4660.973,4701.096304,4660.973,loss,-1.0001,0.0001,160.0,-1741.2,4678.385,4660.973,1.2355
US30,30,1.3043478260869565,2026-01,2026-01-18,2026-01-19 01:45:00,2026-01-19 07:00:00,SELL,49035.0,49141.2,48896.478261,49007.7,timeout,0.2373,0.0198,21.0,27.3,49141.2,49035.0,1.5105
US30,30,1.3043478260869565,2026-01,2026-01-19,2026-01-20 00:30:00,2026-01-20 01:00:00,SELL,48914.2,48972.4,48838.286957,48972.4,loss,-1.0361,0.0361,21.0,-58.2,48972.4,48914.2,1.4178
XAUUSD,30,1.3043478260869565,2026-01,2026-01-19,2026-01-20 01:00:00,2026-01-20 03:45:00,BUY,4668.008,4659.461,4679.156261,4679.156261,win,1.3042,0.0002,160.0,1114.83,4668.008,4659.461,1.9718
US30,30,1.3043478260869565,2026-01,2026-01-20,2026-01-21 00:30:00,2026-01-21 03:15:00,BUY,48582.7,48542.2,48635.526087,48635.526087,win,1.2525,0.0519,21.0,52.83,48582.7,48542.2,0.7956
XAUUSD,30,1.3043478260869565,2026-01,2026-01-20,2026-01-21 00:30:00,2026-01-21 01:00:00,BUY,4780.053,4770.739,4792.201696,4792.201696,win,1.3042,0.0002,160.0,1214.87,4780.053,4770.739,1.4014
XAUUSD,30,1.3043478260869565,2026-01,2026-01-21,2026-01-22 00:30:00,2026-01-22 01:00:00,BUY,4794.233,4778.118,4815.252565,4778.118,loss,-1.0001,0.0001,160.0,-1611.5,4794.233,4778.118,0.7712
US30,30,1.3043478260869565,2026-01,2026-01-21,2026-01-22 01:00:00,2026-01-22 02:00:00,BUY,49206.5,49172.4,49250.978261,49250.978261,win,1.2486,0.0557,19.0,44.48,49206.5,49172.4,0.4841
US30,30,1.3043478260869565,2026-01,2026-01-22,2026-01-23 00:30:00,2026-01-23 01:45:00,BUY,49412.7,49370.4,49467.873913,49467.873913,win,1.2547,0.0496,21.0,55.17,49412.7,49370.4,0.8431
XAUUSD,30,1.3043478260869565,2026-01,2026-01-22,2026-01-23 00:30:00,2026-01-23 00:45:00,SELL,4948.06,4963.38,4928.077391,4963.38,loss,-1.0001,0.0001,160.0,-1532.0,4963.38,4948.06,1.4426
XAUUSD,30,1.3043478260869565,2026-01,2026-01-25,2026-01-26 00:30:00,2026-01-26 01:00:00,BUY,5043.899,5030.511,5061.361609,5030.511,loss,-1.0001,0.0001,160.0,-1338.8,5043.899,5030.511,1.141
US30,30,1.3043478260869565,2026-01,2026-01-25,2026-01-26 01:00:00,2026-01-26 07:00:00,BUY,49063.7,48968.5,49187.873913,49075.7,timeout,0.104,0.0221,21.0,12.0,49063.7,48968.5,1.3076
US30,30,1.3043478260869565,2026-01,2026-01-26,2026-01-27 00:30:00,2026-01-27 02:00:00,BUY,49291.7,49263.4,49328.613043,49328.613043,win,1.2301,0.0742,21.0,36.91,49291.7,49263.4,0.5679
XAUUSD,30,1.3043478260869565,2026-01,2026-01-26,2026-01-27 00:30:00,2026-01-27 00:45:00,SELL,5038.539,5054.001,5018.371174,5018.371174,win,1.3042,0.0001,160.0,2016.78,5054.001,5038.539,0.6991
US30,30,1.3043478260869565,2026-01,2026-01-27,2026-01-28 00:30:00,2026-01-28 04:15:00,BUY,49049.5,49019.2,49089.021739,49019.2,loss,-1.0627,0.0627,19.0,-30.3,49049.5,49019.2,0.9481
