signal_time,entry_time,exit_time,side,entry,exit,stop_distance,quantity,notional,fees,funding_pnl,pnl,return_on_equity_pct,balance,reason
2026-02-12T14:00:00+00:00,2026-02-12T14:15:00+00:00,2026-02-12T14:45:00+00:00,short,67964.80284,67715.87091,327.94285714285695,0.3049311726781671,20724.587030841623,20.68663347817565,0.0,55.22047185376561,0.5522047185376561,10055.220471853765,data_gap
2026-02-12T16:30:00+00:00,2026-02-12T16:45:00+00:00,2026-02-12T16:45:00+00:00,long,66244.6238,65655.70043047714,582.3571428571419,0.17266415626880038,11438.072075771093,11.387229097418272,0.0,-113.07318580306207,-1.1245221934175658,9942.147286050704,stop
2026-02-12T18:30:00+00:00,2026-02-12T18:45:00+00:00,2026-02-12T21:30:00+00:00,long,65411.34048,65781.92115,594.7285714285723,0.16717117292967937,10934.890510944217,10.965865713578697,0.0,50.98453955538703,0.5128121530337889,9993.131825606091,time
2026-02-13T10:15:00+00:00,2026-02-13T10:30:00+00:00,2026-02-13T11:45:00+00:00,short,66875.3118,67117.15141546572,235.12857142857268,0.42500712545866864,28422.484032270182,28.473875812165744,0.0,-131.25743560328283,-1.3134764745818006,9861.87439000281,stop
2026-02-13T13:30:00+00:00,2026-02-13T13:45:00+00:00,2026-02-13T14:30:00+00:00,short,67263.57297000001,67519.00991015414,248.68571428571158,0.3965597468406504,26674.025468580818,26.724673472741454,0.0,-128.020681794015,-1.298137420243278,9733.853708208795,stop
2026-02-13T15:30:00+00:00,2026-02-13T15:45:00+00:00,2026-02-13T16:00:00+00:00,short,68679.93132,69027.00201000001,442.29999999999876,0.22007356337799736,15114.637218148526,15.152827759894707,0.0,-91.53391125225669,-0.9403666214447411,9642.319796956539,data_gap
2026-02-14T08:45:00+00:00,2026-02-14T09:00:00+00:00,2026-02-14T09:15:00+00:00,short,69700.32927,69561.75548,172.1857142857147,0.4150189775835132,28926.95939086962,28.898204014546785,0.0,28.612548631123563,0.2967392622691762,9670.932345587662,data_gap
2026-02-14T11:15:00+00:00,2026-02-14T11:30:00+00:00,2026-02-14T11:45:00+00:00,short,70152.78402,70398.70890125915,238.88571428571595,0.40483510596288225,28400.309752327896,28.450089265009623,0.0,-128.0091146284626,-1.323648124649186,9542.923230959199,stop
2026-02-15T04:15:00+00:00,2026-02-15T04:30:00+00:00,2026-02-15T05:15:00+00:00,short,70163.88291,70471.03645186243,300.10714285714494,0.3179838753621989,22310.983398181357,22.359818334967677,0.0,-120.02969190760736,-1.2577874620033245,9422.89353905159,stop
2026-02-15T07:30:00+00:00,2026-02-15T07:45:00+00:00,2026-02-15T08:00:00+00:00,short,70693.62993,70942.78778513585,242.0642857142853,0.3892723584252191,27519.076048490755,27.567571181435206,0.0,-124.55783707033831,-1.3218639959597271,9298.335701981252,stop
