case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-050,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-050.htm,2023.09.01,2025.08.31,1,0.50,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10020.24,20.24,0.2,1.05,69.23,2.57,13,0.34,0.08,100%,0.08,0.1
rr-075,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-075.htm,2023.09.01,2025.08.31,1,0.75,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10239.97,239.97,2.4,1.55,69.23,2.57,13,2.64,0.93,100%,0.82,1.15
rr-100,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10263.93,263.93,2.64,1.5,61.54,4.56,13,2.12,0.57,100%,0.75,0.86
rr-125,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-125.htm,2023.09.01,2025.08.31,1,1.25,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10235.69,235.69,2.36,1.37,53.85,4.56,13,1.5,0.51,100%,0.58,0.76
rr-150,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-150.htm,2023.09.01,2025.08.31,1,1.50,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10414.36,414.36,4.14,1.65,53.85,4.56,13,2.38,0.9,100%,0.91,1.34
rr-200,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-200.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10450.67,450.67,4.51,1.6,46.15,4.56,13,2.15,0.98,100%,0.82,1.37
rr-250,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-250.htm,2023.09.01,2025.08.31,1,2.50,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10601.15,601.15,6.01,1.92,50.0,4.56,12,1.93,1.31,100%,1.05,1.79
rr-300,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-300.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10809.57,809.57,8.1,2.23,50.0,4.56,12,2.52,1.76,100%,1.24,2.36
rr-400,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-400.htm,2023.09.01,2025.08.31,1,4.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11234.8,1234.8,12.35,2.84,50.0,4.56,12,3.41,2.69,100%,1.52,3.47
rr-500,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-rr-500.htm,2023.09.01,2025.08.31,1,5.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11007.06,1007.06,10.07,2.3,41.67,6.59,12,2.47,1.31,100%,1.11,2.89
