symbol,broker_symbol,timeframe,side,signal_time,entry_time,exit_time,entry,stop,tp1,tp2,tp3,r_multiple,pnl,balance_after,exit_reason,bars_held,pivot_rsi,previous_rsi,risk_points,lot,target_risk,actual_risk,risk_mode
EURJPY,EURJPY..,M5,BUY,2025-07-24T14:20:00+00:00,2025-07-24T14:45:00+00:00,2025-07-24T16:25:00+00:00,172.224,172.068782,172.379218,172.534436,172.689654,2.0,799.5,10799.5,tp3,20,46.6,42.75,0.155218,4.2,400.0,399.75,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-25T16:05:00+00:00,2025-07-25T16:30:00+00:00,2025-07-28T02:35:00+00:00,173.221,172.893408,173.548592,173.876183,174.203775,1.6337,705.59,11505.09,timeout,120,41.65,27.43,0.327592,2.15,431.98,431.89,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-29T16:00:00+00:00,2025-07-29T17:00:00+00:00,2025-07-29T17:55:00+00:00,171.491,171.212972,171.769028,172.047057,172.325085,-1.0,-458.61,11046.48,stop,11,29.08,25.66,0.278028,2.69,460.2,458.61,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-07-30T12:15:00+00:00,2025-07-30T13:05:00+00:00,2025-07-30T15:30:00+00:00,171.011,170.787785,171.234215,171.457431,171.680646,-1.0,-440.74,10605.74,stop,29,44.47,34.04,0.223215,3.22,441.86,440.74,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-07-31T13:10:00+00:00,2025-07-31T13:30:00+00:00,2025-07-31T14:00:00+00:00,171.37,171.588312,171.151688,170.933375,170.715063,-1.0,-423.03,10182.71,stop,6,69.12,76.42,0.218312,3.16,424.23,423.03,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-07-31T14:25:00+00:00,2025-07-31T14:50:00+00:00,2025-07-31T16:50:00+00:00,171.472,171.780424,171.163576,170.855153,170.546729,-1.0,-406.62,9776.09,stop,24,61.71,67.88,0.308424,2.15,407.31,406.62,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-01T13:40:00+00:00,2025-08-01T14:00:00+00:00,2025-08-01T15:30:00+00:00,171.584,171.779083,171.388917,171.193834,170.998752,-1.0,-389.98,9386.11,stop,18,39.69,44.57,0.195083,3.26,391.04,389.98,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-01T15:30:00+00:00,2025-08-01T15:50:00+00:00,2025-08-01T16:50:00+00:00,171.687,171.147393,172.226607,172.766214,173.305821,-1.0,-373.9,9012.21,stop,12,60.24,43.26,0.539607,1.13,375.44,373.9,RISK_PERCENT
EURJPY,EURJPY..,M5,BUY,2025-08-04T16:10:00+00:00,2025-08-04T16:35:00+00:00,2025-08-04T17:05:00+00:00,170.521,170.201024,170.840976,171.160951,171.480927,-1.0,-359.06,8653.15,stop,6,28.33,19.98,0.319976,1.83,360.49,359.06,RISK_PERCENT
EURJPY,EURJPY..,M5,SELL,2025-08-05T13:15:00+00:00,2025-08-05T13:50:00+00:00,2025-08-05T18:05:00+00:00,170.355,170.579582,170.130418,169.905835,169.681253,-1.0,-345.66,8307.49,stop,51,71.03,75.69,0.224582,2.51,346.13,345.66,RISK_PERCENT
