symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr
AUDUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,BUY,0.66147,0.66115,0.661887,0.661887,win,1.3043,41.74,0.66147,0.66115,1.6842
BTCUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,SELL,85348.9,85551.1,85085.16087,85551.1,loss,-1.0,-202.2,85551.1,85348.9,0.5346
EURGBP,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,BUY,0.87609,0.87596,0.87626,0.87596,loss,-1.0,-13.0,0.87609,0.87596,0.7982
EURJPY,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 01:00:00,BUY,182.513,182.402,182.657783,182.657783,win,1.3043,14478.26,182.513,182.402,1.5873
EURUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,SELL,1.17214,1.17256,1.171592,1.17256,loss,-1.0,-42.0,1.17256,1.17214,1.3517
GBPJPY,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,BUY,208.327,208.193,208.501783,208.501783,win,1.3043,17478.26,208.327,208.193,1.4169
GBPUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,SELL,1.33787,1.33843,1.33714,1.33843,loss,-1.0,-56.0,1.33843,1.33787,1.4848
USDCAD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 00:45:00,SELL,1.37752,1.37776,1.377207,1.377207,win,1.3043,31.3,1.37776,1.37752,0.5895
USDCHF,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 03:15:00,BUY,0.79449,0.79402,0.795103,0.795103,win,1.3043,61.3,0.79449,0.79402,2.8485
USDJPY,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 03:15:00,BUY,155.703,155.558,155.89213,155.89213,win,1.3043,18913.04,155.703,155.558,2.4282
XAUUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:30:00,2025-12-19 01:15:00,SELL,4327.886,4335.848,4317.500783,4317.500783,win,1.3043,1038.52,4335.848,4327.886,1.6248
NZDUSD,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:45:00,2025-12-19 01:45:00,BUY,0.57779,0.57699,0.578833,0.57699,loss,-1.0,-80.0,0.57779,0.57699,2.8212
US30,30,1.3043478260869565,2025-12,2025-12-18,2025-12-19 00:45:00,2025-12-19 01:00:00,BUY,47969.7,47931.5,48019.526087,47931.5,loss,-1.0,-38.2,47969.7,47931.5,0.6619
