month,opened,closed,wins,losses,net,gross,commission,swap,extra_stress,payout,distribution,start_balance,end_balance,reset_adjustment,max_daily_loss,max_envelope_daily_loss,min_envelope,phase,rejected,breach
2023-09,25,25,13,12,577.571215442989,1991.9715739654196,-238.3273234809193,0.0,1176.073035041511,0.0,0.0,100000.0,100577.57121544298,0.0,1096.667961904779,1447.9405809523887,98225.21075131684,Funded,2,
2023-10,31,31,14,17,-802.7434760777712,930.7576332844146,-252.75596024336983,-212.701,1268.0441491188158,0.0,0.0,100577.57121544298,99774.82773936521,0.0,495.45693853603734,1305.7154928217496,98020.6824636401,Funded,0,
2023-11,36,35,18,17,141.41195327959488,2457.5566987842535,-267.4346262674901,-69.5022077922078,1979.207911444961,0.0,0.0,99774.82773936521,99916.23969264483,0.0,793.570803259252,1952.9876619047573,97263.88139566735,Funded,0,
2023-12,38,39,20,19,2645.244795937722,5432.533172152376,-302.10183721270687,-47.01714285714286,2438.1693961448027,449.18759086603535,561.4844885825441,99916.23969264483,102000.0,0.0,926.6527532467735,1845.922167085504,98311.84515510096,Funded,0,
2024-01,34,34,21,13,4273.456527085412,6782.711572097388,-276.1756365648143,0.0,2233.0794084471654,3418.7652216683377,4273.456527085422,102000.0,102000.0,0.0,785.5561136611941,2080.656675324659,100775.31698579235,Funded,0,
2024-02,30,30,17,13,1441.3788408201092,3337.3079076592408,-259.6079265027383,-24.577142857142857,1611.7439974792514,1153.1030726561207,1441.3788408201508,102000.0,102000.0,0.0,1259.698734731297,1874.5351490909234,100223.31539376621,Funded,1,
2024-03,39,36,15,21,-1104.1603702312364,1166.6662924782913,-304.0145146628824,-60.92666666666667,1905.8854813799796,0.0,0.0,102000.0,100895.83962976879,0.0,1197.6490496894403,3079.2194971763383,99133.418389693,Funded,0,
2024-04,32,35,23,12,7261.754113797728,9969.059718640829,-246.05601817695143,-44.84266666666666,2416.406919999485,4926.074994853209,6157.593743566511,100895.83962976879,102000.0,0.0,438.58450072463893,1989.8940045687632,99591.52081643546,Funded,0,
2024-05,34,34,22,12,4262.121081250669,7482.682259020496,-301.8986682448468,-251.50440476190477,2667.158104763076,3409.696865000541,4262.121081250676,102000.0,102000.0,0.0,806.9040222222247,1839.6151757121406,100227.71236774613,Funded,0,
2024-06,30,30,20,10,4980.985349911804,8028.980669978338,-289.66940181935377,-20.330000000000002,2737.9959182471775,3984.788279929466,4980.985349911833,102000.0,102000.0,0.0,496.2836596322886,1508.6776099999988,101264.72280712354,Funded,0,
2024-07,29,29,18,11,7628.096687925309,10425.049519965844,-244.795186885246,0.0,2552.1576451552855,6102.477350340225,7628.096687925281,102000.0,102000.0,0.0,443.75503448274685,1901.5477721798088,100562.94771611893,Funded,0,
2024-08,33,32,16,16,-135.4714361233083,2095.4679327806753,-170.48801139534427,-207.65144542772865,1852.7999120809104,0.0,0.0,102000.0,101864.52856387668,0.0,1760.519513076928,2366.231005384616,99001.48900214663,Funded,0,
2024-09,41,41,20,21,-771.7303690030207,1957.0007396404485,-296.1078210763435,-36.32342857142858,2396.2998589956983,0.0,0.0,101864.52856387668,101092.79819487364,0.0,1137.1324486352532,2563.7973717121786,96760.98761429639,Funded,2,
2024-10,36,37,21,16,4030.989728370974,6688.153283532751,-255.14549516318158,-80.15999999999998,2321.858059998596,2714.188322015514,3392.7354025193927,101092.79819487364,101731.0525207252,0.0,1753.0146180455195,3492.0490708051802,99540.5867778329,Funded,2,
2024-11,35,34,17,17,1844.8400325320815,3648.9592507678926,-181.52547820342159,-38.46,1584.1337400323891,922.41652099262,1153.020651240775,101731.0525207252,102422.87190201652,0.0,624.6126895604539,1320.7939325767074,99866.234730956,Funded,0,
2024-12,29,29,14,15,565.4946698083656,2490.5245605108103,-183.6074875349025,-358.1749762393347,1383.2474269282072,1739.736402374797,2174.6705029684963,102422.87190201652,100813.69606885637,0.0,1006.2596738461725,1884.1772225641034,97980.02337266045,Funded,0,
2025-01,44,43,24,19,617.0930380811378,2910.994550903619,-221.45698760477393,-29.932000000000002,2042.5125252177074,631.7884501028225,789.735562628528,100813.69606885637,100641.05354430902,0.0,793.7914044919598,2055.4461164102395,97556.94411159426,Funded,0,
2025-02,33,35,20,15,880.951586051375,3082.5198181442875,-190.23086077384468,-23.540000000000003,1987.797371319068,0.0,0.0,100641.05354430902,101522.00513036037,0.0,1510.0740605296305,1748.2314867591485,98279.63591334931,Funded,1,
2025-03,41,39,16,23,1389.2135656974285,3199.690252242097,-181.22608739184489,-74.816,1554.4345991528235,39.84046309553087,49.800578869413584,101522.00513036037,102861.41811718834,0.0,941.2136212121259,2312.601769230765,99112.30182545529,Funded,0,
2025-04,38,40,18,22,-497.42562336437464,1423.6885419703053,-146.73615784425527,-51.9729268292683,1722.405080661156,291.19399505918847,363.99249382398557,102861.41811718834,102000.0,0.0,1567.4694301994314,1707.1435999999958,99318.74173329337,Funded,1,
2025-05,44,44,20,24,-3906.0926836640515,-2344.5763314026635,-158.0480522336018,-89.62036363636362,1313.847936391424,0.0,0.0,102000.0,98093.90731633593,0.0,1663.747552941175,1702.2695529411722,97250.09924227379,Funded,1,
2025-06,31,31,14,17,-986.1767223559996,-13.784456226249361,-131.80368892400625,-9.62,830.9685772057452,0.0,0.0,98093.90731633593,97107.73059397994,0.0,1126.2122312950378,1733.8982864399004,95826.43357066296,Funded,0,
2025-07,35,35,22,13,786.179285851533,1987.4044517275124,-143.39536897556846,-17.098666666666666,1040.731130233744,0.0,0.0,97107.73059397994,97893.90987983145,0.0,223.0714100000041,1206.2730632478633,96084.90367339262,Funded,0,
2025-08,30,30,19,11,2464.747853266938,4154.961564023816,-198.06777798803603,-51.275000000000006,1440.8709327688427,0.0,0.0,97893.90987983145,100358.6577330984,0.0,413.03683193278266,1260.363231932788,96681.51389863488,Funded,0,
2025-09,42,41,23,18,1597.761434634759,4842.068756230585,-308.24464027659525,-59.84333333333334,2876.219347985894,446.7977108250605,558.4971385313256,100358.6577330984,101397.92202920187,0.0,1635.430381368351,2214.699114701696,97934.72815261474,Funded,0,
2025-10,40,41,26,15,7234.736485346701,10182.923483818193,-156.8592330257314,-25.68,2765.6477654457613,5306.1268116388355,6632.658514548544,101397.92202920187,102000.0,0.0,418.09739999999874,1785.0870299319795,99761.3511973571,Funded,0,
2025-11,28,28,11,17,-944.197167448006,545.310353054334,-190.71678586700497,-19.259999999999998,1279.5307346353354,0.0,0.0,102000.0,101055.80283255203,0.0,1460.0934850637277,2051.85552210077,99572.86773288403,Funded,1,
2025-12,31,31,19,12,3285.937458454884,6446.719660391281,-240.5435579234965,-8.533333333333335,2911.705310679567,2279.004141273024,2848.7551765912795,101055.80283255203,101492.98511441563,0.0,408.15197777778667,2430.271051779928,99038.42733237501,Funded,0,
2026-01,38,38,22,16,1809.2779859979692,5568.840055747467,-317.87096307096266,-3.18,3438.5111066785366,20.782094408059493,25.977618010074366,101492.98511441563,103276.28548240355,0.0,3118.7451689655136,4380.259574790762,96867.87303151687,Funded,1,
2026-02,36,33,15,18,6463.632156524719,11761.794804192199,-191.01657334932963,-82.11333333333334,5025.03274098482,3632.3569880851196,4540.446235106399,103276.28548240355,105199.47140382184,0.0,1139.3869364372513,1875.851833333334,100124.14816666667,Funded,3,
2026-03,37,40,22,18,2224.052728713558,5249.60151846217,-275.7544467832825,-2.12,2747.674342965331,4338.819306028343,5423.524132535429,105199.47140382184,102000.0,0.0,1774.6392500000075,1980.1811959459592,99382.28179390056,Funded,1,
2026-04,37,37,18,19,1489.722359289442,3535.9355154941877,-227.495346738565,-9.540000000000001,1809.1778094661806,1191.777887431567,1489.7223592894588,102000.0,102000.0,0.0,709.4863649122854,1855.6350470588222,98716.03979412717,Funded,0,
2026-05,40,40,16,24,-1725.4811544611266,555.6060153781759,-288.93971482558715,0.0,1992.1474550137152,0.0,0.0,102000.0,100274.51884553887,0.0,1595.8655294117634,1835.1754558823595,98029.0713509403,Funded,0,
2026-06,40,38,16,22,1268.6141141218263,5037.892705343597,-216.75025235058172,-3.21,3549.318338871188,397.1143955074367,496.3929943842959,100274.51884553887,101046.73996527639,0.0,1315.9021638601698,1907.0487487126375,98990.75967338464,Funded,0,
2026-07,38,40,23,17,6234.064170541674,11897.035264323533,-297.04746843636326,-2.14,5363.783625345493,4224.643308654404,5280.804135818005,101046.73996527639,102000.0,0.0,435.0264713712095,1929.042929824558,99358.48453914956,Funded,0,
