case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,session,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-050,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-050.htm,2023.09.01,2025.08.31,1,0.50,0.10,0.30,0.00,96,false,0,1.00,10000.0,9808.7,-191.3,-1.91,0.88,65.22,7.88,46,-4.86,-0.24,100%,-0.4,-0.26
rr-075,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-075.htm,2023.09.01,2025.08.31,1,0.75,0.10,0.30,0.00,96,false,0,1.00,10000.0,9697.07,-302.93,-3.03,0.86,54.35,8.68,46,-5.0,-0.34,100%,-0.53,-0.38
rr-100,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,10100.38,100.38,1.0,1.05,52.17,6.26,46,1.32,0.16,100%,0.15,0.18
rr-125,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-125.htm,2023.09.01,2025.08.31,1,1.25,0.10,0.30,0.00,96,false,0,1.00,10000.0,10219.94,219.94,2.2,1.09,47.83,7.53,46,2.42,0.28,100%,0.29,0.33
rr-150,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-150.htm,2023.09.01,2025.08.31,1,1.50,0.10,0.30,0.00,96,false,0,1.00,10000.0,10255.93,255.93,2.56,1.1,43.48,7.41,46,2.33,0.33,100%,0.31,0.4
rr-200,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-200.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
rr-250,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-250.htm,2023.09.01,2025.08.31,1,2.50,0.10,0.30,0.00,96,false,0,1.00,10000.0,9575.99,-424.01,-4.24,0.87,28.26,13.82,46,-2.43,-0.29,100%,-0.44,-0.32
rr-300,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-300.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,9198.5,-801.5,-8.02,0.75,23.91,14.95,46,-3.85,-0.53,100%,-0.84,-0.61
rr-400,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-rr-400.htm,2023.09.01,2025.08.31,1,4.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,9169.81,-830.19,-8.3,0.75,21.74,14.78,46,-3.5,-0.55,100%,-0.79,-0.64
stop-b002-min020,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b002-min020.htm,2023.09.01,2025.08.31,1,2.00,0.02,0.20,0.00,96,false,0,1.00,10000.0,10529.11,529.11,5.29,1.18,38.3,7.77,47,3.79,0.64,100%,0.53,0.71
