case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
legacy-standard-dynamic5020,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-legacy-standard-dynamic5020.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12540.21,2540.21,25.4,1.06,44.43,25.58,691,0.98,0.92,98%,0.74,0.98
legacy-safe-dynamic5020,baseline,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-legacy-safe-dynamic5020.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11696.0,1696.0,16.96,1.11,44.98,12.0,269,1.74,1.39,98%,0.81,1.53
no-management,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-no-management.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13540.15,3540.15,35.4,1.08,35.88,23.31,641,1.17,1.45,98%,0.96,1.48
native-100-050,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-native-100-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11926.58,1926.58,19.27,1.05,50.52,24.38,770,0.94,0.73,98%,0.69,0.76
native-150-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-native-150-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13814.52,3814.52,38.15,1.09,42.07,26.03,675,1.36,1.23,98%,1.09,1.28
native-200-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-native-200-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13540.15,3540.15,35.4,1.08,35.88,23.31,641,1.17,1.45,98%,0.96,1.48
dynamic-600-200,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-dynamic-600-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13981.6,3981.6,39.82,1.09,41.89,24.51,666,1.37,1.22,98%,1.06,1.3
dynamic-750-250,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-dynamic-750-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12847.04,2847.04,28.47,1.07,37.6,22.12,649,0.99,1.08,98%,0.78,1.14
dynamic500-native150,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-dynamic500-native150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11167.56,1167.56,11.68,1.03,44.76,25.39,715,0.5,0.43,98%,0.38,0.44
rr-050,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10567.26,567.26,5.67,1.02,71.56,22.01,953,0.53,0.26,98%,0.32,0.26
rr-075,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11956.03,1956.03,19.56,1.07,64.73,27.42,879,1.39,0.67,98%,0.91,0.68
rr-100,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9185.92,-814.08,-8.14,0.97,58.26,28.88,829,-0.55,-0.28,98%,-0.39,-0.28
rr-125,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-125.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9409.65,-590.35,-5.9,0.98,53.49,28.52,787,-0.35,-0.2,98%,-0.25,-0.2
rr-150,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11605.85,1605.85,16.06,1.05,51.4,23.86,749,0.77,0.63,98%,0.58,0.65
rr-175,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-175.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10407.41,407.41,4.07,1.01,46.55,25.13,711,0.18,0.15,98%,0.14,0.16
rr-200,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12540.21,2540.21,25.4,1.06,44.43,25.58,691,0.98,0.92,98%,0.74,0.98
rr-250,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,14333.07,4333.07,43.33,1.11,40.09,21.78,636,1.37,1.87,98%,1.11,1.97
rr-300,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Development\xau-weakness-development-rr-300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11649.47,1649.47,16.49,1.05,36.11,26.89,601,0.54,0.59,98%,0.46,0.63
