signal_time,symbol,timeframe,direction,pending_order_type,trigger_price,stop_loss,setup_score,entry_model,filled,source_report,opened_at
2026-06-29 14:45:00,XAUUSD,M15,BUY,BUY_STOP,4030.99195,3998.24914,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-06-29 14:45:00
2026-06-30 01:30:00,XAUUSD,M15,BUY,BUY_STOP,3987.94542,3940.11474,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-06-30 01:30:00
2026-06-30 14:15:00,XAUUSD,M15,SELL,SELL_STOP,4021.34713,4070.35259,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-06-30 14:15:00
2026-07-01 01:00:00,XAUUSD,M15,BUY,BUY_STOP,4006.15304,3977.59587,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 01:00:00
2026-07-01 01:45:00,XAUUSD,M15,BUY,BUY_STOP,3988.95006,3969.26948,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 01:45:00
2026-07-01 04:00:00,XAUUSD,M15,BUY,BUY_STOP,3982.73395,3968.59956,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-07-01 04:00:00
2026-07-01 12:15:00,XAUUSD,M15,SELL,SELL_STOP,4019.04048,4036.95857,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-07-01 12:15:00
2026-07-01 07:00:00,XAUUSD,M30,BUY,BUY_STOP,3978.09238,3957.4924,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-07-01 07:00:00
2026-07-01 14:30:00,XAUUSD,M30,SELL,SELL_STOP,4040.5976,4118.73221,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 14:30:00
2026-07-01 01:45:00,XAGUSD,M15,BUY,BUY_STOP,58.19955,57.27776,88,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 01:45:00
2026-07-01 04:00:00,XAGUSD,M15,BUY,BUY_STOP,57.89769,57.32348,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 04:00:00
2026-06-30 13:00:00,BTCUSD,H1,BUY,BUY_STOP,59343.70929,58075.05214,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-06-30 13:00:00
2026-06-30 11:45:00,ETHUSD,M15,BUY,BUY_STOP,1582.81507,1569.60768,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-06-30 11:45:00
2026-06-30 16:15:00,ETHUSD,M15,BUY,BUY_STOP,1574.52282,1546.01154,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221151,2026-06-30 16:15:00
2026-07-01 15:30:00,ETHUSD,M30,SELL,SELL_STOP,1588.41979,1631.25064,88,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 15:30:00
2026-07-01 16:00:00,ETHUSD,H1,SELL,SELL_STOP,1588.05889,1631.79332,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221151,2026-07-01 16:00:00
2026-06-30 05:00:00,EURUSD,M15,BUY,BUY_STOP,1.13991,1.13838,87,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 05:00:00
2026-06-30 05:00:00,EURUSD,M30,BUY,BUY_LIMIT,1.13857,1.1379,89,Pending Entry Model 2 - LTF Swing Retest,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 05:00:00
2026-06-30 08:45:00,GBPUSD,M15,BUY,BUY_STOP,1.32319,1.32106,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 08:45:00
2026-06-30 12:30:00,GBPUSD,M15,BUY,BUY_STOP,1.32272,1.32063,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 12:30:00
2026-07-01 14:00:00,GBPUSD,M15,SELL,SELL_STOP,1.32464,1.32843,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-07-01 14:00:00
2026-06-30 00:30:00,GBPUSD,M30,BUY,BUY_LIMIT,1.32389,1.32265,89,Pending Entry Model 2 - LTF Swing Retest,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 00:30:00
2026-07-01 20:00:00,GBPUSD,M30,BUY,BUY_STOP,1.32827,1.32641,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-07-01 20:00:00
2026-06-29 12:00:00,GBPUSD,H1,SELL,SELL_STOP,1.32086,1.32443,88,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-06-29 12:00:00
2026-06-29 18:00:00,GBPUSD,H1,SELL,SELL_STOP,1.32493,1.32723,88,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-06-29 18:00:00
2026-06-30 15:00:00,GBPUSD,H1,BUY,BUY_STOP,1.32772,1.32091,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-06-30 15:00:00
2026-07-01 14:00:00,USDJPY,M15,BUY,BUY_STOP,162.56781,162.27956,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221152,2026-07-01 14:00:00
2026-07-01 16:15:00,USDJPY,M15,BUY,BUY_STOP,162.46325,162.27526,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221152,2026-07-01 16:15:00
2026-06-30 05:00:00,USDCHF,M15,SELL,SELL_STOP,0.80907,0.81002,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221152,2026-06-30 05:00:00
2026-06-30 02:00:00,USDCAD,M15,SELL,SELL_STOP,1.42132,1.4238,87,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-30 02:00:00
2026-06-30 04:15:00,USDCAD,M15,SELL,SELL_STOP,1.42291,1.42388,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-30 04:15:00
2026-06-30 05:00:00,USDCAD,M15,SELL,SELL_STOP,1.42298,1.42388,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-30 05:00:00
2026-07-01 03:30:00,USDCAD,M15,BUY,BUY_LIMIT,1.4214,1.42114,89,Pending Supply/Demand Base Retest,True,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-07-01 03:30:00
2026-06-29 14:00:00,USDCAD,M30,SELL,SELL_STOP,1.4202,1.42215,89,Pending Entry Model 3 - Internal Structure Break,True,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-29 14:00:00
2026-07-01 01:15:00,AUDUSD,M15,BUY,BUY_LIMIT,0.68913,0.68878,89,Pending Entry Model 2 - LTF Swing Retest,True,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-07-01 01:15:00
2026-06-30 13:15:00,NZDUSD,M15,SELL,SELL_STOP,0.56585,0.5669,86,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-30 13:15:00
2026-06-30 15:00:00,NZDUSD,H1,SELL,SELL_STOP,0.56581,0.5691,89,Pending Entry Model 3 - Internal Structure Break,False,reports\lta_pending_backtest\20260701-221714-812035-USDCAD-AUDUSD-NZDUSD,2026-06-30 15:00:00
