symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr
EURJPY,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 03:15:00,BUY,182.633,182.402,182.934304,182.934304,win,1.3043,30130.43,182.633,182.402,3.3034
EURUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 01:30:00,BUY,1.17265,1.17214,1.173315,1.17214,loss,-1.0,-51.0,1.17265,1.17214,1.6414
US30,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 06:30:00,SELL,47931.5,47976.5,47872.804348,47872.804348,win,1.3043,58.7,47976.5,47931.5,0.7797
USDCAD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 01:30:00,SELL,1.37714,1.37776,1.376331,1.37776,loss,-1.0,-62.0,1.37776,1.37714,1.5228
USDJPY,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 03:15:00,BUY,155.771,155.558,156.048826,156.048826,win,1.3043,27782.61,155.771,155.558,3.567
XAGUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 01:00:00,SELL,65.367,65.601,65.061783,65.061783,win,1.3043,1526.09,65.601,65.367,1.3747
XAUUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:00:00,2025-12-19 01:15:00,SELL,4325.571,4335.848,4312.166217,4312.166217,win,1.3043,1340.48,4335.848,4325.571,2.0972
BTCUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:15:00,2025-12-19 02:30:00,SELL,85234.69,85553.67,84818.62913,85553.67,loss,-1.0,-318.98,85553.67,85234.69,0.8433
GBPUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:15:00,2025-12-19 02:30:00,BUY,1.33856,1.33774,1.33963,1.33774,loss,-1.0,-82.0,1.33856,1.33774,2.1742
NZDUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:15:00,2025-12-19 01:45:00,BUY,0.57817,0.57699,0.579709,0.57699,loss,-1.0,-118.0,0.57817,0.57699,4.1612
AUDUSD,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:30:00,2025-12-19 07:00:00,SELL,0.66115,0.66219,0.659793,0.66049,timeout,0.6346,66.0,0.66219,0.66115,5.4737
USDCHF,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 01:30:00,2025-12-19 04:00:00,BUY,0.79451,0.79402,0.795149,0.795149,win,1.3043,63.91,0.79451,0.79402,2.9697
EURGBP,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 03:00:00,2025-12-19 06:30:00,BUY,0.87619,0.87591,0.876555,0.87591,loss,-1.0,-28.0,0.87619,0.87591,1.7193
GBPJPY,60,1.3043478260869565,2025-12,2025-12-18,2025-12-19 03:00:00,2025-12-19 06:30:00,BUY,208.517,208.193,208.939609,208.939609,win,1.3043,42260.87,208.517,208.193,3.426
BTCUSD,60,1.3043478260869565,2025-12,2025-12-19,2025-12-20 02:30:00,2025-12-20 05:15:00,BUY,88138.72,87909.76,88437.363478,88437.363478,win,1.3043,298.64,88138.72,87909.76,0.947
