case,group,stage,report,from,to,model,risk_percent,settings_json,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-current-dynamic5020.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpMarkovHistoryBars"":""2600"",""InpMagic"":""86500001"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovThreshold"":""0.05""}",10000.0,11345.69,1345.69,13.46,1.91,48.98,5.98,49,11.24,2.18,99%,1.61,2.58
current-original-be1,baseline,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-current-original-be1.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovSignalGate"":""0.05"",""InpUseDynamicTrailingSL"":""false"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpMarkovHistoryBars"":""2600"",""InpMagic"":""86500002"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovThreshold"":""0.05""}",10000.0,11274.49,1274.49,12.74,1.86,44.9,6.22,49,10.26,1.98,99%,1.53,2.33
no-management,baseline,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-no-management.htm,2025.09.01,2026.09.01,0,1.00,"{""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpMagic"":""86500003"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpTrailStartAtR"":""0"",""InpUseMarkovRegimeFilter"":""false"",""InpMarkovHistoryBars"":""2600""}",10000.0,10918.54,918.54,9.19,1.46,46.94,6.71,49,6.91,1.21,99%,1.05,1.48
rr-075,reward-risk,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-rr-075.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpMarkovHistoryBars"":""2600"",""InpMagic"":""86500004"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false"",""InpRewardRisk"":""0.75"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovThreshold"":""0.05""}",10000.0,10630.82,630.82,6.31,1.56,69.39,3.1,49,11.8,1.98,99%,1.39,2.27
structure-ny0930-or30-m5,structure,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-structure-ny0930-or30-m5.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovThreshold"":""0.05"",""InpOpeningRangeMinutes"":""30"",""InpMarkovSignalGate"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpSessionMinute"":""30"",""InpResearchSession"":""0"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500005"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseMarkovRegimeFilter"":""false"",""InpSignalTimeframe"":""5"",""InpMarkovHistoryBars"":""2600"",""InpSessionHour"":""9""}",10000.0,10371.73,371.73,3.72,2.22,61.54,3.17,13,3.88,1.15,99%,1.01,2.52
entry-retest,entry,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-entry-retest.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpMarkovHistoryBars"":""2600"",""InpMagic"":""86500006"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false"",""InpEntryMode"":""1"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovThreshold"":""0.05""}",10000.0,10447.46,447.46,4.47,3.8,55.56,3.24,9,2.8,1.36,99%,1.35,3.17
confirmation-volume,confirmation,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-confirmation-volume.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovThreshold"":""0.05"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMarkovReturnWindow"":""40"",""InpUseMarkovRegimeFilter"":""false"",""InpResearchSession"":""0"",""InpMagic"":""86500007"",""InpRiskPercent"":""1.00"",""InpRequireVWAP"":""false"",""InpMinOpeningRelativeVolume"":""0.80"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseEMATrend"":""false"",""InpMarkovHistoryBars"":""2600""}",10000.0,11256.59,1256.59,12.57,2.88,52.17,2.92,23,19.17,4.17,99%,1.96,6.33
confirmation-ema,confirmation,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-confirmation-ema.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovSignalGate"":""0.05"",""InpRequireVWAP"":""false"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpMarkovHistoryBars"":""2600"",""InpMagic"":""86500008"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false"",""InpRiskPercent"":""1.00"",""InpUseEMATrend"":""true"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovThreshold"":""0.05""}",10000.0,10778.56,778.56,7.79,1.85,40.0,3.58,25,13.69,2.11,99%,1.18,2.76
confirmation-strict,confirmation,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-confirmation-strict.htm,2025.09.01,2026.09.01,0,1.00,"{""InpMarkovThreshold"":""0.05"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMarkovReturnWindow"":""40"",""InpUseMarkovRegimeFilter"":""false"",""InpResearchSession"":""0"",""InpMagic"":""86500009"",""InpRiskPercent"":""1.00"",""InpRequireVWAP"":""true"",""InpMinOpeningRelativeVolume"":""0.80"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseEMATrend"":""true"",""InpMarkovHistoryBars"":""2600""}",10000.0,10845.51,845.51,8.46,3.04,53.85,2.96,13,9.33,2.77,99%,1.64,4.14
final-rr2-native-no-be,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Locked\orb-volume-xau-locked-final-rr2-native-no-be.htm,2025.09.01,2026.09.01,0,1.00,"{""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpRewardRisk"":""2.00"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpMagic"":""86500010"",""InpRiskPercent"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseMarkovRegimeFilter"":""false"",""InpMarkovHistoryBars"":""2600""}",10000.0,10614.69,614.69,6.15,1.31,46.94,7.13,49,5.16,0.77,99%,0.78,0.99
